key,message,comment,context
${label} move lines,${label} linhas de movimento,,
%,,,
%d anomalies.,%d anomalias.,,
%d anomaly.,%d anomalia.,,
"%d invoice treated successfully,","%d fatura tratada com sucesso,",,
"%d invoices treated successfully,","%d faturas tratadas com sucesso,",,
"%d reimbursement created successfully,","%d reembolso criado com sucesso,",,
"%d reimbursements created successfully,","%d reembolsos criados com sucesso,",,
%s : A customer account is missing for the company %s,%s : uma conta de cliente está faltando para a empresa %s,,
%s : A header record is missing in the file %s,%s : Um registro de cabeçalho está faltando no arquivo %s,,
%s : A record is missing in the file %s,%s : Um registro está faltando no arquivo %s,,
%s : A supplier account is missing for the company %s,%s : uma conta de fornecedor está faltando para a empresa %s,,
"%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s","%s : Anomalia detectada (o registro não possui %s caracteres: %s) para o registro %s, empresa %s",,
%s : Anomaly detected (value isn't numeric : %s) for sender,%s : Anomalia detectada (o valor não é numérico: %s) para o remetente,,
%s : Anomaly detected (value isn't numeric : %s) for the receiver,%s : Anomalia detectada (o valor não é numérico: %s) para o receptor,,
%s : Anomaly detected (value isn't numeric : %s) for the total,%s : Anomalia detectada (o valor não é numérico: %s) para o total,,
%s : Bank statement line %s amount can't be null,%s : o valor %s da linha do extrato bancário não pode ser nulo,,
%s : Caution - You can't pay for an amount higher than selected invoices,%s : Cuidado - Você não pode pagar por um valor maior que as faturas selecionadas,,
"%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.","%s : Cuidado, entrada de pagamento nb %s, o montante total da linha imputada é maior do que o valor pago pelo cliente.",,
%s : Computed balance and Ending Balance must be equal,%s : Saldo calculado e Saldo final devem ser iguais,,
%s : Currency missing,%s : moeda em falta,,
%s : Error : You must configure a company for the batch configurator %s,%s : Erro: você deve configurar uma empresa para o configurador de lote %s,,
%s : Error : You must configure a credit note interface sequence for the company %s,%s : Erro: você deve configurar uma sequência de interface de nota de crédito para a empresa %s,,
%s : Error : You must configure a direct debit date for the %s batch configuration,%s : Erro: você deve configurar uma data de débito direto para a configuração em lote %s,,
%s : Error : You must configure a due date for the batch configurator %s,%s : Erro: Você deve configurar uma data de vencimento para o configurador de lote %s,,
%s : Error : You must configure a journal for the company %s and a payment mode %s,%s : Erro: você deve configurar um diário para a empresa %s e um modo de pagamento %s,,
%s : Error : You must configure a purchase interface sequence for the company %s,%s : Erro: você deve configurar uma seqüência de interface de compra para a empresa %s,,
%s : Error : You must configure a reconciliation sequence for the company %s,%s : Erro: você deve configurar uma sequência de reconciliação para a empresa %s,,
%s : Error : You must configure a sale interface sequence for the company %s,%s : Erro: você deve configurar uma sequência de interface de venda para a empresa %s,,
%s : Error : You must configure a sequence for the company %s and a payment mode %s,%s : Erro: você deve configurar uma sequência para a empresa %s e um modo de pagamento %s,,
%s : Error : You must configure a treasury interface sequence for the company %s,%s : Erro: Você deve configurar uma sequência de interface de tesouraria para a empresa %s,,
%s : Error : You must configure a weight table in general configuration,%s : Erro: Você deve configurar uma tabela de pesos na configuração geral,,
%s : Error : You must configure an account export sequence for the company %s,%s : Erro: você deve configurar uma sequência de exportação de conta para a empresa %s,,
%s : Error : You must configure an account reporting sequence for the company %s,%s : Erro: você deve configurar uma sequência de relatórios de conta para a empresa %s,,
%s : Error : You must configure an analytic report sequence for the company %s,%s : Erro: você deve configurar uma sequência de relatório analítico para a empresa %s,,
%s : Error : You must configure an export type for the batch configurator %s,%s : Erro: você deve configurar um tipo de exportação para o configurador de lote %s,,
"%s : Error : You must, at first, create timetable lines for the timetable %s",%s : Erro: primeiro você deve criar linhas de horário para o horário %s,,
%s : Error detected during CFONB file's writing : %s,%s : erro detectado durante a gravação do arquivo CFONB: %s,,
%s : Error generated on invoice creation shift to irrecoverable %s,%s : erro gerado na mudança da criação da fatura para %s irrecuperável,,
%s : Invoice's type is not filled %s,%s : o tipo de fatura não está preenchido %s,,
%s : Invoicing address missing,%s : endereço de faturamento ausente,,
"%s : Letter template missing for debt recovery matrix %s (Partner %s, Level %s).","%s : modelo de carta ausente para a matriz de recuperação de dívidas %s (Parceiro %s, Nível %s).",,
%s : MoveLine amount is not equals with bank statement line %s,%s : quantidade da Linha de Movimento não é igual à linha do extrato bancário %s,,
%s : No payment mode found for the code %s and the company %s,%s : nenhum modo de pagamento foi encontrado para o código %s e a empresa %s,,
%s : No timetable nor invoice found for the direct debit number : %s,%s : não foi encontrado nenhum cronograma nem fatura para o número de débito direto: %s,,
%s : One or several detail records are missing in the file %s,%s : Um ou vários registros detalhados estão faltando no arquivo %s,,
%s : Payment condition missing,%s : condição de pagamento ausente,,
%s : Payment mode missing,%s : modo de pagamento ausente,,
%s : Payment mode must be filled either in the partner or in the company configuration.,%s : O modo de pagamento deve ser preenchido no parceiro ou na configuração da empresa.,,
"%s : Payment voucher n° %s, the paid amount should be positive","%s : Comprovante de pagamento n° %s, o valor pago deve ser positivo",,
%s : Payment's amount (%s) is different than Paybox's collected amount (%s),%s : o valor do pagamento (%s) é diferente do valor cobrado preenchido (%s),,
%s : Please define an email template for cash register (company: %s),"%s : Por favor, defina um modelo de email para o registro de caixa (empresa: %s)",,
"%s : Please, configure a currency for the company %s","%s : Por favor, configure uma moeda para a empresa %s",,
"%s : Please, configure a sequence for the customer invoices and the company %s","%s : Por favor, configure uma sequência para as faturas do cliente e a empresa %s",,
"%s : Please, configure a sequence for the customer refunds and the company %s","%s : Por favor, configure uma sequência para os reembolsos do cliente e a empresa %s",,
"%s : Please, configure a sequence for the supplier invoices and the company %s","%s : Por favor, configure uma sequência para as faturas do fornecedor e a empresa %s",,
"%s : Please, configure a sequence for the supplier refunds and the company %s","%s : Por favor, configure uma sequência para o reembolso do fornecedor e a empresa %s",,
%s : Reconciliation %s: Reconciliated amount (%s) must be lower or equal to remaining amount to reconciliate from moves lines.,%s : Reconciliação %s: O valor reconciliado (%s) deve ser menor ou igual ao valor restante para reconciliar as linhas de movimentos.,,
%s : Reconciliation %s: Reconciliated amount must be different than zero. (Debit %s account %s - Credit %s account %s),%s : reconciliação %s: o valor reconciliado deve ser diferente de zero. (Débito %s conta %s – Crédito %s conta %s),,
%s : Reconciliation : Move line accounts are not compatible.,%s : Reconciliação: as contas de linha de movimentação não são compatíveis.,,
%s : Reconciliation : You must fill concerned moves lines.,%s : Reconciliação: você deve preencher as linhas de movimentos em questão.,,
%s : The amount paid for the CB payment entry can't be higher than payer's balance.,%s : O valor pago pela entrada de pagamento do CB não pode ser superior ao saldo do pagador.,,
%s : The invoice %s has no accounting document whose the remainder to be paid is positive,%s : A fatura %s não possui documento contábil cujo saldo a ser pago é positivo,,
%s : The total amount for the following record isn't correct (file %s) :\n %s,%s : o valor total do registro a seguir não está correto (arquivo %s): \ n %s,,
%s : There's no line to pay.,%s : não há linha a pagar.,,
%s : There's no partner selected,%s : não há parceiro selecionado,,
