key,message,comment,context
"Access config","Acessar configuração",revisao,
"Access config imported successfully","Acessar a configuração importada com sucesso",revisao,
"Anonymize data","Anonimizar dados",revisao,
App,,revisao,
"Application Config","Configuração de aplicativo",revisao,
Apps,Apps,revisao,
"Apps installed successfully","Apps instalados com sucesso",revisao,
"Apps management","Gerenciamento de aplicativos",revisao,
"Apps refreshed successfully","Aplicativos atualizados com sucesso",revisao,
"Are you sure wants to anonymize data ?.","Você tem certeza de anonimizar os dados?",revisao,
"Are you sure wants to import demo data for '${name}'?","Tem certeza de que deseja importar dados de demonstração para &#39;$ {name}&#39;?",revisao,
"Are you sure wants to install '${name}'?","Tem certeza de que deseja instalar o &#39;$ {name}&#39;?",revisao,
"Are you sure wants to uninstall '${name}'?","Tem certeza de que deseja desinstalar o &#39;$ {name}&#39;?",revisao,
"Back To Draft","De volta ao rascunho",revisao,
Backup,"Cópia de segurança",revisao,
"Backup Created","Backup criado",revisao,
"Backup File","Arquivo de backup",revisao,
"Backup On","Backup On",revisao,
"Backup Restore Error","Erro de restauração de backup",revisao,
"Backup Restored","Backup restaurado",revisao,
"Bad header row:","Linha de cabeçalho ruim:",revisao,
"Bad import file","Arquivo de importação ruim",revisao,
"Bulk install","Instalação em massa",revisao,
CSV,,revisao,
"CSV Backup Fetch Limit","Limite de obtenção de backup do CSV",revisao,
Code,Código,revisao,
Condition,Condição,revisao,
ConditionParams,CondiçãoParam,revisao,
Configure,Configurar,revisao,
Create,Crio,revisao,
"Create Backup","Criar backup",revisao,
"Create file","Criar arquivo",revisao,
Data,Dados,revisao,
"Data config line","Linha de configuração de dados",revisao,
Delete,Excluir,revisao,
"Demo data loaded","Dados de demonstração carregados",revisao,
"Demo data loaded successfully","Dados de demonstração carregados com sucesso",revisao,
"Depends on","Depende de",revisao,
Description,Descrição,revisao,
Details,Detalhes,revisao,
Draft,"Esboço, projeto",revisao,
"Error in import. Please check log.","Erro na importação. Por favor, verifique log.",revisao,
"Error in import: %s. Please check the server log","Erro na importação:% s. Por favor verifique o log do servidor",revisao,
"Error in refreshing app","Erro ao atualizar o aplicativo",revisao,
Excel,Excel,revisao,
Export,Exportar,revisao,
"Export file","Arquivo de exportação",revisao,
"Export format","Formato de exportação",revisao,
Field,Campo,revisao,
"Field permission","Permissão de campo",revisao,
"Fields to delete","Campos para deletar",revisao,
"Fields to export","Campos para exportar",revisao,
File,Arquivo,revisao,
"Group Menu Assistant","Assistente de menu de grupo",revisao,
Groups,Grupos,revisao,
"Groups not found: %s","Grupos não encontrados:% s",revisao,
"Hide If","Ocultar se",revisao,
Image,Imagem,revisao,
Import,Importar,revisao,
"Import ID","ID de importação",revisao,
"Import access config","Configuração de acesso de importação",revisao,
"Import completed successfully","Importação concluída com sucesso",revisao,
"Import date","Data de importação",revisao,
"Import demo data","Importar dados de demonstração",revisao,
"Import permissions","Importar permissões",revisao,
"Import roles","Funções de importação",revisao,
"Imported from","Importado de",revisao,
"In Progress","Em progresso",revisao,
"Init data loaded","Dados de inicialização carregados",revisao,
Install,Instalar,revisao,
"Install order","Ordem de instalação",revisao,
Installed,Instalado,revisao,
Language,Língua,revisao,
Lines,Linhas,revisao,
Log,,revisao,
"Menu not found: %s","Menu não encontrado:% s",revisao,
Menus,Menus,revisao,
"Meta Permissions","Meta Permissões",revisao,
Model,Modelo,revisao,
"Modules contains in the app","Módulos contém no aplicativo",revisao,
Name,Nome,revisao,
"No application language set. Please set 'application.locale' property.","Nenhum idioma de aplicativo definido. Por favor, defina a propriedade &#39;application.locale&#39;.",revisao,
"No configuration required","Nenhuma configuração é necessária",revisao,
"No header row found","Nenhuma linha de cabeçalho encontrada",revisao,
"No record found for: %s","Nenhum registro encontrado para:% s",revisao,
None,Nenhum,revisao,
Object,Objeto,revisao,
"Object data config","Configuração de dados do objeto",revisao,
"Object data export","Exportação de dados de objeto",revisao,
"Object not found: %s","Objeto não encontrado:% s",revisao,
Objects,Objetos,revisao,
Path,Caminho,revisao,
"Permission Assistant","Assistente de Permissão",revisao,
Query,Inquerir,revisao,
Query/path,"Consulta / caminho",revisao,
Read,Ler,revisao,
"Readonly If","Somente leitura se",revisao,
Record,Registro,revisao,
"Refresh Apps","Atualizar aplicativos",revisao,
Replace,Substituir,revisao,
"Reset Path","Repor caminho",revisao,
Restore,Restaurar,revisao,
"Restore Backup","Restaurar backup",revisao,
"Restored On","Restaurado em",revisao,
Roles,Papéis,revisao,
"Roles imported","Papéis importados",revisao,
"Roles imported successfully","Funções importadas com sucesso",revisao,
"Roles not found: %s","Papéis não encontrados:% s",revisao,
"Select all","Selecionar tudo",revisao,
Sequence,Seqüência,revisao,
Status,Status,revisao,
"Tab name","Nome da guia",revisao,
"Technical maintenance","Manutenção técnica",revisao,
"This app is used by %s. Please deactivate them before continue.","Este aplicativo é usado por% s. Por favor, desative-os antes de continuar.",revisao,
Title,Título,revisao,
Type,Tipo,revisao,
Uninstall,Desinstalar,revisao,
User,"Do utilizador",revisao,
"User access config","Configuração de acesso do usuário",revisao,
"User field","Campo do usuário",revisao,
Write,Escrever,revisao,
"{{$fmt('name')}}","{{$ fmt (&#39;name&#39;)}}",revisao,
