key,message,comment,context
%d errors occurred. Please check tracebacks for details.,"%d erros ocorridos. Por favor, verifique os logs para mais detalhes.",,
%d line successfully rejected,%d linha rejeitada com sucesso,,
%d lines successfully rejected,%d linhas rejeitadas com sucesso,,
%s : Bank statement line %s amount can't be null,%s : o valor %s da linha do extrato bancário não pode ser nulo,,
%s : Computed balance and Ending Balance must be equal,%s : Saldo calculado e Saldo final devem ser iguais,,
%s : MoveLine amount is not equals with bank statement line %s,%s : quantidade da Linha de Movimento não é igual à linha do extrato bancário %s,,
%s : Please configure an ICS number for the company %s.,"%s : Por favor, configure um número ICS para a empresa %s.",,
"%s : Please, configure a default signer for the company %s","%s : Por favor, configure um signatário padrão para a empresa %s",,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s : Por favor, configure uma sequência para as Transferências Internacionais de Créditos e a empresa %s",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","% s: Por favor, configure uma sequência para os Débitos Diretos Internacionais e a empresa %s",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","% s: Por favor, configure uma sequência para as transferências internacionais do Tesouro e a empresa %s",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s : Por favor, configure uma sequência para as transferências do Tesouro Nacional e a empresa %s",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s : Por favor, configure uma sequência para os outros pedidos bancários e a empresa %s",,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s : Por favor, configure uma sequência para as Transferências de Crédito SEPA e a empresa %s",,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s : Por favor, configure uma sequência para os Débitos Diretos SEPA e a empresa %s",,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s : Por favor, configure uma conta para o pedido do banco externo para transferência bancária para a empresa %s",,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s : Por favor, configure uma conta para o pedido bancário do banco interno para transferência bancária para a empresa %s",,
%s : You must configure bank payment's information for the company %s,%s : você deve configurar as informações do pagamento bancário para a empresa %s,,
%s bank statements get.,Os extratos bancários de %s foram recebidos.,,
33000000000,,,
0,,,
11000,,,
11001,,,
11101,,,
31001,,,
61001,,,
61002,,,
61099,,,
61101,,,
90005,,,
91002,,,
91003,,,
91004,,,
91005,,,
91006,,,
91007,,,
91008,,,
91009,,,
91010,,,
91011,,,
91101,,,
91102,,,
91103,,,
91104,,,
91112,,,
91113,,,
91117,,,
91118,,,
91119,,,
91120,,,
91121,,,
91209,,,
91301,,,
1,,,
10 - Bank details IBAN,10 - Dados bancários IBAN,,
10 - Sender bank details type,10 - Tipo de detalhes bancários do remetente,,
10 - Sequence,10 - Sequência,,
11 - Bank details code,11 - Código de detalhes bancários,,
11 - Sender bank details IBAN,11 - Dados bancários do remetente IBAN,,
12 - Bank order currency,12 - Moeda de pedido bancário,,
13 - Total,13 - Total,,
14 - Sender bank details type,14 - Tipo de detalhes bancários do remetente,,
15 - Sender bank details IBAN,15 - Dados bancários do remetente IBAN,,
16 - Bank order currency,16 - Moeda de pedido bancário,,
16 - Economic reason code,16 - Código de razão econômica,,
17-3 - File format qualifying date,17-3 - Data de qualificação do formato de arquivo,,
18 - Order debit type index,18 - Índice do tipo de débito do pedido,,
18 - Payment mode select,18 - Selecione o modo de pagamento,,
19 - Fees imputation mode,19 - Modo de imputação de taxas,,
19 - Order index type,19 - Tipo de índice de pedidos,,
2,,,
20 - Bank order date,20 - Data do pedido bancário,,
21 - Currency,21 - Moeda,,
24-1 - Qualifying of date,24-1 - Qualificação da data,,
24-2 - Date,24-2 - Data,,
25 - Currency,25 - Moeda,,
3,,,
4,,,
4 - Bank details type,4 - Tipo de detalhes bancários,,
4 - Bank name,4 - nome do banco,,
4 - Generation date,4 - Data de geração,,
4-1 - Payment Reason 1,4-1 - Motivo de Pagamento 1,,
4-2 - Payment Reason 2,4-2 – Motivo de Pagamento 2,,
4-3 - Payment Reason 3,4-3 – Motivo de Pagamento 3,,
4-4 - Payment Reason 4,4-4 – Motivo de Pagamento 4,,
5,,,
5 - Bank address,5 - Endereço do banco,,
5 - Bank details IBAN,5 - Dados bancários IBAN,,
5 - Sender company,5 - Empresa remetente,,
6 - Bank code,6 - Código do banco,,
6 - Bank details owner name,6 - Nome do proprietário dos detalhes bancários,,
6 - Registration code,6 - código de registro,,
6 - Sender address,6 - Endereço do remetente,,
7 - Country code,7 - código do país,,
7 - Registration code,7 - código de registro,,
7 - Sequence,7 - Sequência,,
8 - Sequence,8 - Sequência,,
9 - Bank details type,9 - Tipo de detalhes bancários,,
9 - Country code,9 - Código do país,,
9-1 - Special instructions 1,9-1 - Instruções especiais 1,,
9-2 - Special instructions 2,9-2 - Instruções especiais 2,,
9-3 - Special instructions 3,9-3 - Instruções especiais 3,,
Accepted Bank Details Identifiers,Identificadores de detalhes bancários aceitos,,
Account,Conta,,
Account balance,Saldo da conta,,
Account management is missing.,O gerenciamento de contas está faltando.,,
Accounting details,Detalhes contábeis,,
Accounting information,Informação contábil,,
Accounting.Account,,,
Action,Ação,,
Actions,Ações,,
Active connection,Conexão ativa,,
Additional information,Informação adicional,,
Administration mode,Modo de administração,,
