key,message,comment,context
"${fullName} variants","$ {fullName} variantes",revisao,
"%D : Day","% D: dia",revisao,
"%FM : Full Month (01, 02, 03, ...)","% FM: Mês completo (01, 02, 03, ...)",revisao,
"%M : Month (1, 2, 3, ...)","% M: Mês (1, 2, 3, ...)",revisao,
"%WY : Week number","% WY: número da semana",revisao,
"%YY : Year (17)","% Aa: ano (17)",revisao,
"%YYYY : Full Year (2017)","% AAAA: ano completo (2017)",revisao,
"%d anomalies.","% d anomalias.",revisao,
"%d anomaly.","% d anomalia.",revisao,
"%d record processed successfully,","% d registro processado com sucesso,",revisao,
"%d records processed successfully,","% d registros processados com sucesso,",revisao,
"%s : Path to Birt template is incorrect","% s: caminho para o modelo Birt está incorreto",revisao,
"%s : Please, configure a currency for the company %s","% s: Por favor, configure uma moeda para a empresa% s",revisao,
"%s SIRET Number required. Please configure SIRET Number for partner %s","% s Número de SIRET requerido. Por favor, configure o número de SIRET para o parceiro% s",revisao,
"%s cell is not valid.","A célula% s não é válida.",revisao,
"%s configuration file is not exist.","O arquivo de configuração% s não existe.",revisao,
"%s module does not exist.","O módulo% s não existe.",revisao,
"%s row must not be empty.","A linha% s não pode estar vazia.",revisao,
"(AUX)","(AUX)",revisao,
"(L')","(EU&#39;)",revisao,
"(LA)","(LA)",revisao,
"(LE)","(LE)",revisao,
"(LES)","(LES)",revisao,
"(LOS)","(LOS)",revisao,
"* %s anomaly(ies)","*% s anomalia (s)",revisao,
"* %s object(s) into alarm","*% s objeto (s) em alarme",revisao,
"+33000000000","+33000000000",revisao,
"+33100000000","+33100000000",revisao,
"- Not null :","- Não nulo :",revisao,
"- Succeeded :","- Sucedido:",revisao,
00,,revisao,
01,,revisao,
02,,revisao,
03,,revisao,
04,,revisao,
05,,revisao,
06,,revisao,
07,,revisao,
08,,revisao,
09,,revisao,
1,,revisao,
"1 Month","1 mês",revisao,
"1 Year","1 ano",revisao,
10,,revisao,
11,,revisao,
12,,revisao,
13,,revisao,
14,,revisao,
15,,revisao,
16,,revisao,
17,,revisao,
18,,revisao,
19,,revisao,
2,,revisao,
"2 Months","2 meses",revisao,
20,,revisao,
21,,revisao,
22,,revisao,
23,,revisao,
24,,revisao,
25,,revisao,
26,,revisao,
27,,revisao,
28,,revisao,
3,,revisao,
"3 Months","3 meses",revisao,
4,,revisao,
5,,revisao,
6,,revisao,
"6 Months","6 meses",revisao,
7,,revisao,
8,,revisao,
9,,revisao,
"<B>%s</B> not found","<B>% s</b> não encontrado",revisao,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",revisao,
"<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />","<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />",revisao,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",revisao,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",revisao,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",revisao,
"<span class='label label-warning'>Invalid IBAN</span>","<span class='label label-warning'>IBAN inválido</span>",revisao,
"<span class='label label-warning'>There is already a partner with this name.</span>","<span class='label label-warning'>Já existe um parceiro com este nome.</span>",revisao,
=,,revisao,
"A product of type service can't be procured from stock.","Um produto do tipo serviço não pode ser obtido do estoque.",revisao,
"A user with this login already exists.","Um usuário com este login já existe.",revisao,
"A.T.I. by default","ATI por padrão",revisao,
ARTMIN,ARTMIN,revisao,
AZTEC,ASTECA,revisao,
"Account Number","Número da conta",revisao,
"Account config","Configuração da conta",revisao,
"Account management","Gerenciamento de contas",revisao,
"Account management list","Lista de gerenciamento de contas",revisao,
"Account managements","Gerenciamento de contas",revisao,
"Account moves","Movimentos da conta",revisao,
Accounting,Contabilidade,revisao,
"Accounting Exports","Exportação Contábil",revisao,
"Accounting configuration","Configuração de contabilidade",revisao,
"Accounting situation","Situação contábil",revisao,
"Accounting situations","Situações contábeis",revisao,
"Accounts Configurations","Configurações de contas",revisao,
"Accounts configuration","Configuração de contas",revisao,
Action,Açao,revisao,
"Action name cannot be null.","O nome da ação não pode ser nulo.",revisao,
Actions,Ações,revisao,
"Activate bar code generation for products","Ativar geração de código de barras para produtos",revisao,
"Activate sending email","Ativar o envio de email",revisao,
Active,Ativo,revisao,
"Active Team","Equipe ativa",revisao,
"Active company","Empresa ativa",revisao,
"Active users","Usuários ativos",revisao,
Activities,actividades,revisao,
"Add Guests","Adicionar convidados",revisao,
Additionnal,Adicional,revisao,
Address,Endereço,revisao,
"Address certified by QAS engine","Endereço certificado pelo mecanismo QAS",revisao,
"Address details","Detalhes do Endereço",revisao,
"Address list","Lista de endereços",revisao,
"Address precisions","Precisões de endereço",revisao,
Addresses,Endereços,revisao,
"Addresses validation","Endereços de validação",revisao,
"Adjust History","Ajustar Histórico",revisao,
"Adjust period","Ajustar período",revisao,
Adjusting,Ajustando,revisao,
Administration,Administração,revisao,
"Advance Fields Export","Exportação antecipada de campos",revisao,
"Advanced Export","Exportação Avançada",revisao,
"Advanced export","Exportação avançada",revisao,
"Advanced export line","Linha de exportação avançada",revisao,
"Advanced export lines","Linhas de exportação avançadas",revisao,
"Advanced exports","Exportações Avançadas",revisao,
"Advanced synchronization","Sincronização avançada",revisao,
"Afternoon From","Tarde De",revisao,
Alarm,Alarme,revisao,
"Alarm Engine","Motor de alarme",revisao,
"Alarm Engine %s","Motor de alarme% s",revisao,
"Alarm Message","Mensagem de alarme",revisao,
"Alarm Messages","Mensagens de alarme",revisao,
"Alarm batch","Lote de alarme",revisao,
"Alarm batches","Lotes de alarme",revisao,
"Alarm engine","Motor de alarme",revisao,
"Alarm engine batch","Lote do motor de alarme",revisao,
"Alarm engine batches","Lotes do motor de alarme",revisao,
"Alarm engines","Motores de alarme",revisao,
Alarms,Alarmes,revisao,
"Alarms report :","Relatório de alarmes:",revisao,
"All Alarms","Todos os alarmes",revisao,
"All Clients","Todos os clientes",revisao,
"All Employees","Todos os empregados",revisao,
"All Enterprises","Todas as empresas",revisao,
"All Individuals","Todos os indivíduos",revisao,
"All Messages","Todas as mensagens",revisao,
"All Prospects","Todos os prospectos",revisao,
"All Suppliers","Todos os fornecedores",revisao,
"All day","Dia todo",revisao,
"All events","Todos os eventos",revisao,
"All my calendars","Todos os meus calendários",revisao,
"All tasks","Todas as tarefas",revisao,
"All teams","Todas as equipes",revisao,
"Allocated qty","Quantia alocada",revisao,
"Allow notifications to be sent by email","Permitir que notificações sejam enviadas por email",revisao,
"Allow to force purchases quantities","Permitir forçar quantidades de compras",revisao,
"Allow to force sales quantities","Permitir forçar quantidades de vendas",revisao,
