key,message,comment,context
"% Charging Back Purhcases","% Recarga de retorno",revisao,
1,,revisao,
2,,revisao,
3,,revisao,
4,,revisao,
5,,revisao,
6,,revisao,
"A deadline is required","Um prazo é necessário",revisao,
"Advance payment invoices","Faturas de pagamento adiantado",revisao,
Annex,Anexo,revisao,
"App business project","Projeto de negócios de aplicativos",revisao,
"Are you sure wants to unlink project from selected lines?.","Tem certeza de que deseja desvincular o projeto das linhas selecionadas?",revisao,
"Assigned to","Atribuído a",revisao,
"Automatic Project","Projeto Automático",revisao,
"Business project","Projeto empresarial",revisao,
"Business projects","Projetos de negócios",revisao,
"Charging Back Purchases Type","Recarregando o tipo de compras",revisao,
Comments,Comentários,revisao,
Configurations,Configurações,revisao,
"Confirmed Orders Total","Total de pedidos confirmados",revisao,
"Cost W.T.","Custo WT",revisao,
Currency,Moeda,revisao,
"Customer deliveries","Entregas ao cliente",revisao,
"Customer invoice lines","Linhas de fatura do cliente",revisao,
"Customer invoices","Faturas do cliente",revisao,
Date,Encontro,revisao,
Deadline,"Data limite",revisao,
"Default Invoicing Product for Projects","Produto de faturamento padrão para projetos",revisao,
"Delay to start (Hours)","Atraso para começar (horas)",revisao,
Delete,Excluir,revisao,
"Discount Type","Tipo de desconto",revisao,
"Discount amount","Quantidade de desconto",revisao,
"Display expense lines on printing","Exibir linhas de despesa na impressão",revisao,
"Display timesheet lines on printing","Exibir linhas de quadro de horários na impressão",revisao,
"Duration (Hours)","Duração (horas)",revisao,
Edit,Editar,revisao,
"Edit task","Editar tarefa",revisao,
"Elements To Invoice","Elementos para fatura",revisao,
"Enable task templates by product","Ativar modelos de tarefas por produto",revisao,
"Enable to invoice expense","Ativar para faturar despesas",revisao,
"Enable to invoice timesheet","Ativar para o quadro de horários da fatura",revisao,
"Estimated Costs Total","Total estimado de custos",revisao,
"Estimated Margin","Margem estimada",revisao,
Expense,Despesa,revisao,
"Expense Lines","Linhas de despesas",revisao,
"Expense Lines Priority","Prioridade das linhas de despesa",revisao,
"Expense lines","Linhas de despesa",revisao,
Expenses,Despesas,revisao,
ExpensesTotal,DespesasTotal,revisao,
"Factory not found this type of generator","Fábrica não encontrada este tipo de gerador",revisao,
"Finalized Orders Total","Total de pedidos finalizados",revisao,
"Flat Rate","Taxa fixa",revisao,
Free,Livre,revisao,
"Generate Invoice","Gerar fatura",revisao,
"Generate/Select Project for Order","Gerar / Selecionar Projeto para Ordem",revisao,
"Generated element type","Tipo de elemento gerado",revisao,
Identically,Identicamente,revisao,
Invoice,Fatura,revisao,
"Invoice generated","Fatura gerada",revisao,
"Invoice lines","Linhas de fatura",revisao,
"Invoice.draftInvoiceNoAnnex","Invoice.draftInvoiceNoAnnex",revisao,
Invoice.expenseProduct,Fatura.expenseProduto,revisao,
Invoice.expenseTaxAmount,Invoice.expenseTaxAmount,revisao,
Invoice.expenseTitle,Invoice.expenseTitle,revisao,
"Invoice.expenseTotalAmount","Invoice.expenseTotalAmount",revisao,
Invoice.invoiceNoAnnex,Invoice.invoiceNoAnnex,revisao,
"Invoice.purchaseInvoiceNoAnnex","Invoice.purchaseInvoiceNoAnnex",revisao,
"Invoice.purchaseRefundNoAnnex","Invoice.purchaseRefundNoAnnex",revisao,
Invoice.refundNoAnnex,Invoice.refundNoAnnex,revisao,
"Invoice.timesheetActivity","Factura.timesheetActivity",revisao,
"Invoice.timesheetDuration","Facturação.timesheetDuration",revisao,
Invoice.timesheetTitle,Fatura.timesheetTitle,revisao,
Invoice.timesheetUser,Invoice.timesheetUser,revisao,
Invoiced,Facturado,revisao,
"Invoiced Orders Total","Total de Pedidos Faturados",revisao,
"Invoicing Type","Tipo de Faturamento",revisao,
"Invoicing business project","Projeto de negócios de faturamento",revisao,
"Invoicing business projects","Faturamento de projetos de negócios",revisao,
"Invoicing comment","Comentário de facturação",revisao,
"Invoicing projects","Projetos de faturamento",revisao,
"Invoicing unit","Unidade de faturamento",revisao,
"Job costing","Custeio de trabalho",revisao,
"Log Times","Tempos de registro",revisao,
"Log Times Priority","Prioridade de tempos de registro",revisao,
"Manual element","Elemento manual",revisao,
"Manual elements","Elementos manuais",revisao,
Name,Nome,revisao,
"No Line can be used for tasks","Nenhuma linha pode ser usada para tarefas",revisao,
"No Project selected","Nenhum projeto selecionado",revisao,
"No project found in context","Nenhum projeto encontrado no contexto",revisao,
"No type of generation project has been selected","Nenhum tipo de projeto de geração foi selecionado",revisao,
None,Nenhum,revisao,
Open,Abrir,revisao,
"Open task","Tarefa aberta",revisao,
PO.Quotation,Cotação,revisao,
"Phase by line","Fase a linha",revisao,
"Planification and costs","Planejamento e custos",revisao,
"Planned Times Total","Total de Tempos Planejados",revisao,
"Planned hours","Horas planejadas",revisao,
"Please select lines","Por favor selecione linhas",revisao,
"Price list","Lista de preços",revisao,
"Produced Turnover","Rotatividade Produzida",revisao,
