key,message,comment,context
"App Portal","Portal de aplicativos",revisao,
"Can confirm online","Pode confirmar online",revisao,
"Can pay online","Pode pagar on-line",revisao,
Code,Código,revisao,
"Electronic signature","Assinatura Eletrônica",revisao,
"Manage invoices","Gerenciar faturas",revisao,
"Manage sale orders","Gerenciar ordens de venda",revisao,
"Manage tickets","Gerenciar tickets",revisao,
Name,Nome,revisao,
"Online payment method","Método de pagamento on-line",revisao,
"Online payment methods","Métodos de pagamento online",revisao,
Password,Senha,revisao,
value:Portal,"valor: Portal",revisao,
