key,message,comment,context
Action,Açao,revisao,
Action %s has no Batch implementation.,A ação %s não tem implementação do Batch.,revisao,
Actions,Ações,revisao,
Activate,Ativar,revisao,
Activated By,Ativado por,revisao,
Activation date,Data de ativação,revisao,
Active,Ativo,revisao,
Additional Benefit Management,Gestão Adicional de Benefícios,revisao,
Additional benefit,Benefício adicional,revisao,
Additional benefit lines,Linhas adicionais de benefícios,revisao,
Additional benefit management,Gerenciamento adicional de benefícios,revisao,
Advanced,Avançado,revisao,
Amendment management,Gestão de alterações,revisao,
App contract,Contrato de aplicativo,revisao,
"Attention the contract will have as starting date the provisional activation         date ${currentContractVersion.supposedActivationDate}, Are you sure?","Atenção o contrato terá como data de início a data de ativação provisória ${currentContractVersion.supposedActivationDate}, Tem certeza?",revisao,
Auto enable version on renew,Ativar automaticamente a versão ao renovar,revisao,
Automatic invoicing,Faturamento Automático,revisao,
Back,De volta,revisao,
Batches,Lotes,revisao,
Batchs,Lotes,revisao,
Cancel,Cancelar,revisao,
Closed,Fechadas,revisao,
Code,Código,revisao,
Company,Empresa,revisao,
Config.,Config.,revisao,
Configurable contract,Contrato configurável,revisao,
Configuration,Configuração,revisao,
Consumption Line,Linha de Consumo,revisao,
Consumption Lines,Linhas de Consumo,revisao,
Consumption for next invoice,Consumo para a próxima fatura,revisao,
Consumption management,Gestão de consumo,revisao,
Consumptions,Consumos,revisao,
Content,Conteúdo,revisao,
Contract,Contrato,revisao,
Contract Dates,Datas do contrato,revisao,
Contract Line,Linha de contrato,revisao,
Contract Lines,Linhas de contrato,revisao,
Contract N°,Contrato N °,revisao,
Contract batch,Lote de contrato,revisao,
Contract batches,Lotes de contrato,revisao,
Contract can't be empty for compute contract line price.,O contrato não pode estar vazio para o preço de linha de contrato de computação.,revisao,
Contract closing invoice,Fatura de fechamento do contrato,revisao,
Contract invoice,Fatura do contrato,revisao,
Contract line,Linha de contrato,revisao,
Contract template,Modelo de contrato,revisao,
Contract template to use,Modelo de contrato para usar,revisao,
Contract templates,Modelos de contrato,revisao,
Contract version,Versão do contrato,revisao,
Contracts,Contratos,revisao,
Copy,cópia de,revisao,
Create PO,Criar pedido,revisao,
Created by,Criado por,revisao,
Created on,Criado em,revisao,
Currency,Moeda,revisao,
Current invoice period,Período de fatura atual,revisao,
Current version,Versão Atual,revisao,
Current version activation,Ativação da versão atual,revisao,
Customer,Cliente,revisao,
Customer contracts,Contratos com clientes,revisao,
Date,Encontro,revisao,
Delete,Excluir,revisao,
Delete next version,Excluir a próxima versão,revisao,
Description,Descrição,revisao,
Displayed Product name,Nome do produto exibido,revisao,
Do not renew,Não renovar,revisao,
Do you really wish to fill your contract based on this template ?,Você realmente deseja preencher seu contrato com base nesse modelo?,revisao,
Draft,"Esboço, projeto",revisao,
Duration,Duração,revisao,
Durations,As duracoes,revisao,
End date,Data final,revisao,
End of next invoicing period,Fim do próximo período de faturamento,revisao,
End of period,Fim do período,revisao,
Engagement,noivado,revisao,
Engagement duration,Duração do engajamento,revisao,
Engagement duration is not fulfilled.,A duração do envolvimento não é cumprida.,revisao,
Engagement start date,Data de início do engajamento,revisao,
Engagement start from version,Início de engajamento da versão,revisao,
Error,Erro,revisao,
First period end date,Data final do primeiro período,revisao,
