key,message,comment,context
"%d times","% d vezes",revisao,
"+33000000000","+33000000000",revisao,
"+33100000000","+33100000000",revisao,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",revisao,
"<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />","<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />",revisao,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",revisao,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",revisao,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",revisao,
"<span class='label label-warning'>There is already a lead with this name.</span>","<span class='label label-warning'>Já existe uma pista com este nome.</span>",revisao,
"<span style=""height:21px; line-height: 21px; margin-top:18px; display:inline-block"">VS</span>","<span style=""height:21px; line-height: 21px; margin-top:18px; display:inline-block"">VS</span>",revisao,
"A lost reason must be selected","Um motivo perdido deve ser selecionado",revisao,
Action,Açao,revisao,
Activities,actividades,revisao,
Add,,revisao,
"Add a guest","Adicione um convidado",revisao,
Address,Endereço,revisao,
"After n repetitions","Depois de n repetições",revisao,
"All past events","Todos os eventos passados",revisao,
"All upcoming events","Todos os próximos eventos",revisao,
"All users","Todos os usuários",revisao,
Amount,Montante,revisao,
"Amount Won","Montante ganho",revisao,
"Amount won","Montante ganho",revisao,
"App Crm","App Crm",revisao,
"Apply changes to all recurrence's events","Aplicar alterações a todos os eventos da recorrência",revisao,
"Apply changes to this event only","Aplicar alterações apenas a este evento",revisao,
"Apply modifications","Aplicar modificações",revisao,
"Apply modifications for all","Aplicar modificações para todos",revisao,
"Are you sure you want to convert the lead?","Tem certeza de que deseja converter o lead?",revisao,
"Assign to","Atribuir a",revisao,
"Assign to me","Atribuir para mim",revisao,
"Assignable Users","Usuários Atribuíveis",revisao,
Assigned,Atribuído,revisao,
"Assigned to","Atribuído a",revisao,
"At the date","Na data",revisao,
Attendee,Participante,revisao,
Available,acessível,revisao,
Batchs,Lotes,revisao,
"Best Open Deals","Melhores ofertas abertas",revisao,
"Best case","Melhor caso",revisao,
Busy,Ocupado,revisao,
CRM,,revisao,
"CRM Activities","Atividades de CRM",revisao,
"CRM Batch","Lote de CRM",revisao,
"CRM batches","Lotes de CRM",revisao,
"CRM config","Configuração de CRM",revisao,
"CRM config (${ name })","Configuração de CRM ($ {name})",revisao,
"CRM configuration","Configuração de CRM",revisao,
"CRM configurations","Configurações de CRM",revisao,
"CRM events","Eventos de CRM",revisao,
Call,Ligar,revisao,
"Call emitted Nbr","Chamada emitida Nbr",revisao,
"Call emitted Nbr.","Chamada emitida Nbr.",revisao,
"Call emitted historical","Chamada emitida histórico",revisao,
"Call filters","Filtros de chamada",revisao,
"Call reminder template","Modelo de lembrete de chamada",revisao,
"Call type","Tipo de chamada",revisao,
Calls,Chamadas,revisao,
"Calls Dashboard","Painel de Chamadas",revisao,
"Calls Db","Chamadas Db",revisao,
"Calls by team by user","Chamadas por equipe por usuário",revisao,
"Calls by user(of a team)","Chamadas pelo usuário (de uma equipe)",revisao,
"Calls emitted historical","Chamadas de histórico emitido",revisao,
"Calls emitted target completed (%)","Chamadas alvo emitido concluído (%)",revisao,
"Calls held by team by type","Chamadas realizadas por equipe por tipo",revisao,
