key,message,comment,context
Anomaly,Anomalia,revisao,
Batch,Lote,revisao,
CRM,,revisao,
Category,Categoria,revisao,
Cause,Causa,revisao,
"Configuration problem","Problema de configuração",revisao,
Date,Encontro,revisao,
"Debt recovery","Recuperação de dívidas",revisao,
"Direct debit","Débito Direto",revisao,
"Doubtful customer","Cliente duvidoso",revisao,
Error,Erro,revisao,
"Functional anomaly","Anomalia funcional",revisao,
ID,,revisao,
Inconsistency,Inconsistência,revisao,
"Interbank payment order","Ordem de pagamento interbancário",revisao,
Invoicing,Facturação,revisao,
Message,mensagem,revisao,
"Missing field","Campo ausente",revisao,
Name,Nome,revisao,
"No Return Value","Nenhum valor de retorno",revisao,
"Non-unique key","Chave não exclusiva",revisao,
Origin,Origem,revisao,
Reference,Referência,revisao,
"Reference ID","referência ID",revisao,
Reimbursement,Reembolso,revisao,
Reminder,Lembrete,revisao,
"Show the batch","Mostrar o lote",revisao,
"Show the reference","Mostrar a referência",revisao,
"Technical anomaly","Anomalia técnica",revisao,
Trace,Vestígio,revisao,
TraceBack,TraceBack,revisao,
Type,Tipo,revisao,
User,"Do utilizador",revisao,
