key,message,comment,context
"Acquisition Date","data de aquisição",revisao,
"Activation Cost","Custo de Ativação",revisao,
Active,Ativo,revisao,
"Additional Properties","Propriedades Adicionais",revisao,
Amount,Montante,revisao,
Archived,Arquivado,revisao,
Automatic,Automático,revisao,
Booking,Reserva,revisao,
BookingDate,"Data de Reserva",revisao,
"CO2 Emissions","Emissões de CO2",revisao,
"Car value","Valor do carro",revisao,
Category,Categoria,revisao,
"Chassis Number","Número do chassi",revisao,
Color,Cor,revisao,
Company,Empresa,revisao,
Configuration,Configuração,revisao,
Confirmed,Confirmado,revisao,
"Contact set","Conjunto de contato",revisao,
"Contract Expiration Date","Data de expiração do contrato",revisao,
"Contract Reference","Referência do contrato",revisao,
"Contract Start date","Data de início do contrato",revisao,
"Contract details","Detalhes do contrato",revisao,
Contractor,Contratante,revisao,
Cost,Custo,revisao,
Daily,Diariamente,revisao,
Date,Encontro,revisao,
Diesel,Diesel,revisao,
Doors,Portas,revisao,
Draft,"Esboço, projeto",revisao,
Driver,Motorista,revisao,
Electric,Elétrico,revisao,
"Engine Options","Opções de motor",revisao,
Fleet,Frota,revisao,
"Fuel log","Log de combustível",revisao,
"Fuel type","Tipo de combustível",revisao,
Gasoline,Gasolina,revisao,
"General Properties","Propriedades gerais",revisao,
"Horse Power","Cavalo poder",revisao,
"Horse Power Tax","Imposto De Potência Do Cavalo",revisao,
Hybrid,Híbrido,revisao,
Image,Imagem,revisao,
"In Progress","Em progresso",revisao,
"Included Services","Serviços Incluídos",revisao,
Information,"Em formação",revisao,
Insurance,Seguro,revisao,
"Invoice Date","Data da fatura",revisao,
"Invoice Reference","Referência de fatura",revisao,
"Kilometric value","Valor quilométrico",revisao,
Leasing,Locação,revisao,
Liter,Litro,revisao,
Location,Localização,revisao,
Make,Faço,revisao,
Manual,Manual,revisao,
Model,Modelo,revisao,
Monthly,"Por mês",revisao,
Name,Nome,revisao,
None,Nenhum,revisao,
Notes,Notas,revisao,
Odometer,Odômetro,revisao,
"Odometer unit","Unidade de odômetro",revisao,
Odometers,Odometros,revisao,
"Partner set","Conjunto de parceiros",revisao,
"Plate number","Número da placa",revisao,
"Power(KW)","Potência (KW)",revisao,
"Price per Liter","Preço por litro",revisao,
Purchaser,Comprador,revisao,
"Recurring Cost","Custo recorrente",revisao,
"Recurring Cost Frequency","Frequência de Custo Recorrente",revisao,
"Recurring Costs","Custos Recorrentes",revisao,
"Refueling details","Detalhes de reabastecimento",revisao,
Repairing,Reparando,revisao,
Seats,Assentos,revisao,
"Service Type","tipo de serviço",revisao,
"Service log","Log de serviço",revisao,
Services,Serviços,revisao,
State,Estado,revisao,
Status,Status,revisao,
Tags,Tag,revisao,
Terminated,Terminado,revisao,
"Terms and Conditions","Termos e Condições",revisao,
"To Close",Fechar,revisao,
"Total Price","Preço total",revisao,
"Total cost","Custo total",revisao,
Transmission,Transmissão,revisao,
Type,Tipo,revisao,
Vehicle,Veículo,revisao,
"Vehicle Contract","Contrato de Veículo",revisao,
"Vehicle Cost","Custo do Veículo",revisao,
"Vehicle Fuel","Combustível para Veículos",revisao,
"Vehicle Fuel Log","Registro de Combustível do Veículo",revisao,
"Vehicle Model","Modelo do veículo",revisao,
"Vehicle Recurring Cost","Custo Recorrente do Veículo",revisao,
"Vehicle Service","Serviço de Veículo",revisao,
"Vehicle Service Log","Registro de serviço do veículo",revisao,
"Vehicle Service Type","Tipo de serviço do veículo",revisao,
"Vehicle contract","Contrato de veículo",revisao,
"Vehicle contracts","Contratos de veículos",revisao,
"Vehicle cost","Custo do veículo",revisao,
"Vehicle fuel log","Log de combustível do veículo",revisao,
"Vehicle makes","Veículo faz",revisao,
"Vehicle models","Modelos de veículos",revisao,
"Vehicle odometer","Odômetro do veículo",revisao,
"Vehicle service","Serviço do veículo",revisao,
"Vehicle service list","Lista de serviços do veículo",revisao,
"Vehicle service log","Log de serviço do veículo",revisao,
"Vehicle service type","Tipo de serviço do veículo",revisao,
"Vehicle sevice type","Tipo de serviço do veículo",revisao,
"Vehicle tag","Etiqueta do veículo",revisao,
"Vehicle tags","Tags de veículos",revisao,
Vendor,Fornecedor,revisao,
Vendors,Vendedores,revisao,
"Warning Date","Data de aviso",revisao,
Weekly,Semanal,revisao,
Yearly,Anual,revisao,
g/km,"g / km",revisao,
value:Fleet,"valor: frota",revisao,
