key,message,comment,context
"%d expense treated successfully,","% d gasto tratado com sucesso,",revisao,
"%d expenses treated successfully,","% d despesas tratadas com sucesso,",revisao,
"+33000000000","+33000000000",revisao,
"+33100000000","+33100000000",revisao,
"+33600000000","+33600000000",revisao,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",revisao,
"<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />","<a class='fa fa-google-plus' href='http://www.google.com' target='_blank' />",revisao,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",revisao,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",revisao,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",revisao,
"Account information","Informação da conta",revisao,
Accounting,Contabilidade,revisao,
Acquired,Adquirido,revisao,
Action,Açao,revisao,
Actions,Ações,revisao,
Active,Ativo,revisao,
Activity,Atividade,revisao,
"Add a line","Adicione uma linha",revisao,
"Add an advance","Adicione um adiantamento",revisao,
"Add lines","Adicionar linhas",revisao,
Advance,Avançar,revisao,
"Advance management","Gestão avançada",revisao,
Afternoon,Tarde,revisao,
"All my Expenses","Todas as minhas despesas",revisao,
"All my Leave Requests","Todas as minhas solicitações de licença",revisao,
"All my Timesheets","Todos os meus quadros de horários",revisao,
"All my extra hours","Todas as minhas horas extras",revisao,
"All timesheets","Todos os quadros de horários",revisao,
"Allow Injection","Permitir injeção",revisao,
"Allow Negative Value for Leaves","Permitir valor negativo para as folhas",revisao,
"Allow Negative Value for leaves","Permitir valor negativo para folhas",revisao,
"Allow expense creation","Permitir criação de despesas",revisao,
"Allow negative values for employee leaves","Permitir valores negativos para folhas de funcionários",revisao,
