key,message,comment,context
"%d messages has been regenerated successfully and %d errors append.","% d mensagens foram regeneradas com sucesso e% d erros anexados.",revisao,
Address,Endereço,revisao,
"Address Block","Bloco de Endereços",revisao,
"All messages","Todas as mensagens",revisao,
Bcc,,revisao,
"Cannot regenerate message without related model.","Não é possível regenerar a mensagem sem o modelo relacionado.",revisao,
"Cannot regenerate message without template associated to message.","Não é possível gerar novamente a mensagem sem o modelo associado à mensagem.",revisao,
Cc,,revisao,
Chat,Bate-papo,revisao,
"Check Duplicate","Verificar duplicado",revisao,
Code,Código,revisao,
Configurations,Configurações,revisao,
"Connection successful","Conexão bem sucedida",revisao,
Content,Conteúdo,revisao,
"Create message","Criar mensagem",revisao,
Default,Padrão,revisao,
"Default account","Conta padrão",revisao,
Delete,Excluir,revisao,
Deleted,Excluído,revisao,
Draft,"Esboço, projeto",revisao,
Email,"O email",revisao,
"Email Accounts","Contas de e-mail",revisao,
"Email address","Endereço de e-mail",revisao,
"Email addresses","Endereço de e-mail",revisao,
"Email sending is in progress","O envio de e-mail está em andamento",revisao,
"Email sending is in progress for %d messages.","O envio de e-mail está em andamento para% d mensagens.",revisao,
Emails,Emails,revisao,
"Fetch emails","Buscar e-mails",revisao,
"Forecasted Sent Date","Data de envio prevista",revisao,
From,De,revisao,
"Generate message","Gerar mensagem",revisao,
Group,Grupo,revisao,
Host,Hospedeiro,revisao,
IMAP,IMAP,revisao,
"Incorrect login or password","Login ou senha incorretos",revisao,
Informations,Informações,revisao,
Language,Língua,revisao,
Login,Entrar,revisao,
Mail,Enviar,revisao,
"Mail account","Conta de correio",revisao,
"Mail accounts","Contas de correio",revisao,
"Media Type","Tipo de mídia",revisao,
Message,mensagem,revisao,
"Message destinated to","Mensagem destinada a",revisao,
Messages,Mensagens,revisao,
"Messages not sent","Mensagens não enviadas",revisao,
Model,Modelo,revisao,
"Model empty. Please configure a model.","Modelo vazio. Por favor, configure um modelo.",revisao,
NONE,NENHUM,revisao,
Name,Nome,revisao,
"No Mail content entered.","Nenhum conteúdo de email inserido.",revisao,
POP,,revisao,
Password,Senha,revisao,
"Please configure a template","Por favor, configure um modelo",revisao,
"Please select one or more messages.","Por favor, selecione uma ou mais mensagens.",revisao,
"Please set the email template to send","Por favor, defina o modelo de email para enviar",revisao,
Port,Porta,revisao,
Print,Impressão,revisao,
"Provided settings are wrong, please modify them and try again","Se as configurações estiverem erradas, modifique-as e tente novamente",revisao,
Received,Recebido,revisao,
Recipient,Destinatário,revisao,
"Recipient address","Endereço do destinatário",revisao,
Recipients,Destinatários,revisao,
"Record Id","ID de registro",revisao,
"Record Name","Nome do registro",revisao,
"Regenerate messages","Regenerar mensagens",revisao,
"Related to","Relacionado a",revisao,
"Related to1 select","Relacionado a1 selecione",revisao,
"Related to2 select","Relacionado a2 select",revisao,
"Reply to","Responder a",revisao,
"Resend messages","Reenviar mensagens",revisao,
Routings,Roteiros,revisao,
SMTP,SMTP,revisao,
SSL,,revisao,
SSL/STARTTLS,"SSL / STARTTLS",revisao,
STARTTLS,STARTTLS,revisao,
"Select template","Selecione o modelo",revisao,
Send,Mandar,revisao,
"Sender (User)","Remetente (usuário)",revisao,
"Sender's email address is null or empty","O endereço de email do remetente é nulo ou vazio",revisao,
Sent,Enviei,revisao,
"Sent by email","Enviado por email",revisao,
"Sent date","Data de envio",revisao,
"Server Type","Tipo de servidor",revisao,
Signature,Assinatura,revisao,
Status,Status,revisao,
Subject,Sujeito,revisao,
System,Sistema,revisao,
"TO/CC/BCC recipient's email address is empty","O endereço de email do destinatário do TO / CC / BCC está vazio",revisao,
"Target receptor","Receptor alvo",revisao,
Template,Modelo,revisao,
"Template Rules","Regras de modelo",revisao,
Templates,Modelos,revisao,
"Test connection","Conexão de teste",revisao,
"There is already a default account","Já existe uma conta padrão",revisao,
To,,revisao,
Type,Tipo,revisao,
"Unable to reach server. Please check Host,Port and SSL/TLS","Não é possível alcançar o servidor. Por favor verifique Host, Port e SSL / TLS",revisao,
User,"Do utilizador",revisao,
Valid,Válido,revisao,
Validate,Validar,revisao,
"Waiting model: %s","Modelo de espera:% s",revisao,
"Your target receptor is not valid. Please check it.","Seu receptor alvo não é válido. Por favor verifique isto.",revisao,
user@mydomain.com,user@mydomain.com,revisao,
