key,message,comment,context
"App Mobile","App Mobile",revisao,
"Apps permissions","Permissões de apps",revisao,
CRM,,revisao,
Contacts,Contatos,revisao,
Customers,clientes,revisao,
Expense,Despesa,revisao,
Expenses,Despesas,revisao,
Leads,Conduz,revisao,
Leave,Sair,revisao,
Leaves,Sai,revisao,
"Mobile apps","Aplicativos móveis",revisao,
"Offline record limit","Limite de registro off-line",revisao,
Products,Produtos,revisao,
Projects,Projetos,revisao,
Sale,Venda,revisao,
Sales,Vendas,revisao,
Timesheet,"Planilha de horário",revisao,
Timesheets,"Quadro de Horários",revisao,
