key,message,comment,context
105,,revisao,
5,,revisao,
"A cancel reason must be selected","Um motivo de cancelamento deve ser selecionado",revisao,
Action,Açao,revisao,
Actions,Ações,revisao,
"Add Manuf. Order","Adicionar Manuf. Ordem",revisao,
"Add components in bulk","Adicione componentes a granel",revisao,
"Add to components","Adicionar aos componentes",revisao,
"All Current Manufacturing Orders","Todas as ordens de produção atuais",revisao,
"All Upcoming Manufacturing Orders","Todas as próximas ordens de produção",revisao,
"Alternative Bill of material","Lista de materiais alternativa",revisao,
"App production","Produção de aplicativos",revisao,
Applicable,Aplicável,revisao,
Approval,Aprovação,revisao,
"Automatic email was not sent because no default email account and/or no valid email account was found : please create one.","E-mail automático não foi enviado porque nenhuma conta de e-mail padrão e / ou nenhuma conta de e-mail válida foi encontrada: crie uma.",revisao,
"Automatically plan the manuf. orders generated from sale order","Planeje automaticamente o manuf. pedidos gerados por ordem de venda",revisao,
"Available stock","Estoque disponível",revisao,
"Average Price","Preço médio",revisao,
BOM,,revisao,
BOM.billOfMaterialList,BOM.billOfMaterialList,revisao,
BOM.company,BOM.company,revisao,
"BOM.defineSubBillOfMaterial","BOM.defineSubBillOfMaterial",revisao,
BOM.hasNoManageStock,BOM.hasNoManageStock,revisao,
BOM.priority,BOM.priority,revisao,
BOM.qty,BOM.qty,revisao,
BOM.title,BOM.title,revisao,
BOM.unit,BOM.unit,revisao,
BOM.versionNumber,BOM.versionNumber,revisao,
BOMs,BOMs,revisao,
Barcode,"Código de barras",revisao,
"Barcode Type","Tipo de código de barras",revisao,
Batchs,Lotes,revisao,
"Bill of Material","Lista de materiais",revisao,
"Bill of material","Lista de materiais",revisao,
"Bill of material and production process must be applicable","A lista de materiais e o processo de produção devem ser aplicáveis",revisao,
"Bill of materials","Lista de materiais",revisao,
BillOfMaterial,"Lista de materiais",revisao,
"Bills of material","Contas de material",revisao,
"Bills of materials","Listas de materiais",revisao,
BoM,,revisao,
"Bom child tree list","Lista da árvore filho Bom",revisao,
"Bom level","Bom nível",revisao,
"Bom tree list","Lista da árvore Bom",revisao,
Brand,Marca,revisao,
"Calculation type","Tipo de cálculo",revisao,
Cancel,Cancelar,revisao,
"Cancel Reason","Cancelar motivo",revisao,
"Cancel Reasons","Cancelar motivos",revisao,
"Cancel reason","Cancelar motivo",revisao,
Canceled,Cancelado,revisao,
Cancellation,Cancelamento,revisao,
"Cancellation confirmation","Confirmação de cancelamento",revisao,
"Cancelled MOs","MOs cancelados",revisao,
"Cancelled Operations","Operações canceladas",revisao,
"Cannot add a manufacturing order without a production process. Please check that your chosen bill of material has a valid production process.","Não é possível adicionar uma ordem de fabricação sem um processo de produção. Por favor, verifique se a sua lista de materiais escolhida tem um processo de produção válido.",revisao,
"Capacity settings","Configurações de capacidade",revisao,
"Charge by machine","Carga por máquina",revisao,
Code,Código,revisao,
Comments,Comentários,revisao,
Company,Empresa,revisao,
Components,Componentes,revisao,
"Components default stock location","Localização de estoque padrão de componentes",revisao,
"Components valuation method for BOM","Método de avaliação de componentes para lista técnica",revisao,
"Components valuation method for manuf. order","Método de avaliação de componentes para manufatura. ordem",revisao,
"Compute cost price","Calcular preço de custo",revisao,
"Compute work in progress valuation","Calcular a avaliação do trabalho em andamento",revisao,
"Computed work in progress valuation","Avaliação computacional em andamento",revisao,
Condition,Condição,revisao,
Configuration,Configuração,revisao,
Configurator,Configurador,revisao,
"Configurator BOM","BOM do configurador",revisao,
"Configurator BOM tree view","Visualização de árvore da BOM do configurador",revisao,
"Configurator BoM","Configurador BoM",revisao,
"Configurator Phase","Fase do Configurador",revisao,
"Configurator Phases","Fases do Configurador",revisao,
"Configurator Prod Process","Configurator Prod Process",revisao,
"Configurator creators","Criadores do configurador",revisao,
"Configurator production process","Processo de produção do configurador",revisao,
Configurators,Configuradores,revisao,
"Configurators BOMs","BOMs dos configuradores",revisao,
"Configurators BOMs tree","Árvore de BOMs dos Configuradores",revisao,
"Confirm cancellation","Confirme cancelamento",revisao,
"Consume in stock moves","Consuma movimentos em estoque",revisao,
"Consumed product","Produto consumido",revisao,
"Consumed product waste","Resíduos de produtos consumidos",revisao,
"Consumed products","Produtos consumidos",revisao,
"Consumed quantity","Quantidade consumida",revisao,
Consumption,Consumo,revisao,
"Consumption qty","Quantidade de consumo",revisao,
"Control on receipt","Controle no recebimento",revisao,
Cost,Custo,revisao,
"Cost (W.T.)","Custo (WT)",revisao,
"Cost Price","Preço de custo",revisao,
"Cost price","Preço de custo",revisao,
"Cost sheet","Planilha de custos",revisao,
"Cost sheet - %s","Folha de custos -% s",revisao,
"Cost sheet group","Grupo de folha de custos",revisao,
"Cost sheet group for product","Grupo de folha de custos para o produto",revisao,
"Cost sheet group for work center","Grupo de folha de custos para centro de trabalho",revisao,
"Cost sheet groups","Grupos de folha de custos",revisao,
"Cost sheet line","Linha de folha de custo",revisao,
"Cost sheet line detail","Detalhe da linha da folha de custo",revisao,
"Cost sheet lines","Linhas de folha de custo",revisao,
"Cost sheets","Folhas de custo",revisao,
"Cost sheets tree","Árvore de folhas de custo",revisao,
"Cost type","Tipo de custo",revisao,
CostSheet,"Planilha de custos",revisao,
"CostSheet.ManufOrderNumber","CostSheet.ManufOrderNumber",revisao,
CostSheet.billOfMaterial,CostSheet.billOfMaterial,revisao,
"CostSheet.calculationDate","CostSheet.calculationDate",revisao,
"CostSheet.calculationType","CostSheet.calculationType",revisao,
"CostSheet.calculationTypeBillOfMaterial","CostSheet.calculationTypeBillOfMaterial",revisao,
"CostSheet.calculationTypeEndOfProduction","CostSheet.calculationTypeEndOfProduction",revisao,
"CostSheet.calculationTypePartialEndOfProduction","CostSheet.calculationTypePartialEndOfProduction",revisao,
"CostSheet.calculationTypeWorkInProgress","CostSheet.calculationTypeWorkInProgress",revisao,
CostSheet.company,CostSheet.company,revisao,
CostSheet.costPrice,CostSheet.costPrice,revisao,
"CostSheet.costSheetLineBomLevel","CostSheet.costSheetLineBomLevel",revisao,
"CostSheet.costSheetLineCode","CostSheet.costSheetLineCode",revisao,
"CostSheet.costSheetLineConsumptionQty","CostSheet.costSheetLineConsumptionQty",revisao,
"CostSheet.costSheetLineCostSheetGroup","CostSheet.costSheetLineCostSheetGroup",revisao,
"CostSheet.costSheetLineName","CostSheet.costSheetLineName",revisao,
"CostSheet.costSheetLineUnit","CostSheet.costSheetLineUnit",revisao,
CostSheet.costSheetLines,CostSheet.costSheetLines,revisao,
CostSheet.createdBy,CostSheet.createdBy,revisao,
CostSheet.createdOn,CostSheet.createdOn,revisao,
CostSheet.currency,CostSheet.currency,revisao,
CostSheet.dateOfEdition,CostSheet.dateOfEdition,revisao,
CostSheet.legend,CostSheet.legend,revisao,
CostSheet.lineType,CostSheet.lineType,revisao,
"CostSheet.lineTypeConsumeProduct","CostSheet.lineTypeConsumeProduct",revisao,
"CostSheet.lineTypeConsumeProductWaste","CostSheet.lineTypeConsumeProductWaste",revisao,
CostSheet.lineTypeHuman,CostSheet.lineTypeHuman,revisao,
"CostSheet.lineTypeIndirectCost","CostSheet.lineTypeIndirectCost",revisao,
"CostSheet.lineTypeProduceProduct","CostSheet.lineTypeProduceProduct",revisao,
"CostSheet.lineTypeWorkCenter","CostSheet.lineTypeWorkCenter",revisao,
CostSheet.manufOrder,CostSheet.manufOrder,revisao,
CostSheet.title,CostSheet.title,revisao,
"Costing settings","Configurações de custo",revisao,
"Create production order","Criar ordem de produção",revisao,
"Created by","Criado por",revisao,
"Created on","Criado em",revisao,
Currency,Moeda,revisao,
Customer,Cliente,revisao,
"Cycle unit","Unidade de ciclo",revisao,
Dashboard,"painel de controle",revisao,
"Date of calculation","Data do cálculo",revisao,
Dates,datas,revisao,
"Default BOM","BOM padrão",revisao,
"Default Bill of material","Lista de materiais padrão",revisao,
"Default Machine","Máquina Padrão",revisao,
"Default Machine settings","Configurações padrão da máquina",revisao,
"Default sequence","Sequência padrão",revisao,
"Default work center product","Produto do centro de trabalho padrão",revisao,
"Define as default bill of material of product","Definir como lista padrão de material do produto",revisao,
"Define sub bill of material","Definir subcarta de material",revisao,
"Define with a configurator","Definir com um configurador",revisao,
"Define with a script","Definir com um script",revisao,
Description,Descrição,revisao,
Descriptions,Descrições,revisao,
Details,Detalhes,revisao,
Diff,Dif,revisao,
"Diff consume manuf order","Diff consome manuf ordem",revisao,
"Diff consume operation order","Diff consomem ordem de operação",revisao,
Difference,Diferença,revisao,
Differences,Diferenças,revisao,
"Direct Manufacturing","Fabricação Direta",revisao,
"Direct Material","Material direto",revisao,
"Do you really wish to create a new version of this bill of material ?","Você realmente deseja criar uma nova versão desta lista de materiais?",revisao,
"Do you really wish to create a new version of this production process ?","Você realmente deseja criar uma nova versão deste processo de produção?",revisao,
Draft,"Esboço, projeto",revisao,
"Draft MOs","Rascunho de MOs",revisao,
"Draft Operations","Operações de rascunho",revisao,
Duration,Duração,revisao,
"Duration (days)","Duração (dias)",revisao,
"Duration (hours)","Duração (horas)",revisao,
"Duration / cycle (hh:mm)","Duração / ciclo (hh: mm)",revisao,
"Duration / cycle (hh:mm:ss)","Duração / ciclo (hh: mm: ss)",revisao,
"Duration between two cycles (hh:mm:ss)","Duração entre dois ciclos (hh: mm: ss)",revisao,
"Duration on MOs","Duração em MOs",revisao,
"Enable production configurator","Ativar configurador de produção",revisao,
"Enable the process for other products","Ativar o processo para outros produtos",revisao,
"End date","Data final",revisao,
"End of production","Fim da produção",revisao,
"Ending duration (hh:mm:ss)","Duração final (hh: mm: ss)",revisao,
"Error : You must configure a raw material requirement reporting sequence for the company %s","Erro: Você deve configurar uma sequência de relatório de requisito de material bruto para a empresa% s",revisao,
"Error during production's order's creation","Erro durante a criação do pedido de produção",revisao,
"Expected/Future Quantity","Quantidade esperada / futura",revisao,
Finish,Terminar,revisao,
Finished,Acabado,revisao,
"Finished MOs","MOs concluídos",revisao,
"Finished Operations","Operações concluídas",revisao,
"Finished products","Produtos finalizados",revisao,
"Finished products default stock location","Localização de estoque padrão de produtos acabados",revisao,
Forecast,Previsão,revisao,
From,De,revisao,
"From Date","Da data",revisao,
"Generate new version","Gere nova versão",revisao,
"Generate production configurations","Gere configurações de produção",revisao,
"Generate production orders automatically","Gerar ordens de produção automaticamente",revisao,
"Generate waste stock move","Gerar movimento de estoque de resíduos",revisao,
High,Alto,revisao,
Human,Humano,revisao,
"Human Ressources Assigned per Manufacturing order","Recursos humanos atribuídos por ordem de produção",revisao,
"Human and Machine","Humano e máquina",revisao,
"Human resources","Recursos humanos",revisao,
Image,Imagem,revisao,
"In manuf order","Na ordem do manuf",revisao,
"In operation order","Em ordem de operação",revisao,
"In progress","Em progresso",revisao,
Indirect,Indireto,revisao,
"Indirect cost","Custo indireto",revisao,
"Is closed","Está fechado",revisao,
"Is permanent","É permanente",revisao,
"Is with difference","Está com diferença",revisao,
"Is workshop","É oficina",revisao,
Label,Rótulo,revisao,
"Last production price","Último preço de produção",revisao,
"Late Planned MOs","MOs atrasados planejados",revisao,
"Late Planned Operations","Operações planejadas tardias",revisao,
"Launch quantity","Quantidade de lançamento",revisao,
Level,Nível,revisao,
"List of Wastes Per Product","Lista de resíduos por produto",revisao,
Low,,revisao,
MO,,revisao,
"MO's valuation method","Método de avaliação do MO",revisao,
"MOs Finished late","MOs concluído com atraso",revisao,
"MOs In Progress","MOs em andamento",revisao,
"MOs In Standby","MOs em espera",revisao,
"MOs to invoice","MOs para faturar",revisao,
Machine,Máquina,revisao,
"Machine Type","Tipo de máquina",revisao,
"Machine Types","Tipos de máquinas",revisao,
"Machine's planning","Planejamento da máquina",revisao,
Machines,Máquinas,revisao,
"Manage bill of material versions","Gerenciar versões da lista de materiais",revisao,
"Manage business production","Gerenciar a produção de negócios",revisao,
"Manage consumed products on operations","Gerenciar produtos consumidos em operações",revisao,
"Manage consumed products on phases","Gerenciar produtos consumidos em fases",revisao,
"Manage production process versions","Gerenciar versões do processo de produção",revisao,
"Manage residual products on BOM","Gerenciar produtos residuais na lista de materiais",revisao,
"Manage workshop","Gerenciar oficina",revisao,
"Manuf. orders","Manuf. encomendas",revisao,
ManufOrder,ManufOrder,revisao,
"ManufOrder.billOfMaterial","ManufOrder.billOfMaterial",revisao,
ManufOrder.company,ManufOrder.company,revisao,
ManufOrder.costPrice,ManufOrder.costPrice,revisao,
ManufOrder.editionDate,ManufOrder.editionDate,revisao,
ManufOrder.effective,ManufOrder.effective,revisao,
ManufOrder.endDate,ManufOrder.endDate,revisao,
ManufOrder.forecast,ManufOrder.forecast,revisao,
ManufOrder.from,ManufOrder.from,revisao,
ManufOrder.inProgress,ManufOrder.inProgress,revisao,
ManufOrder.machine,ManufOrder.machine,revisao,
ManufOrder.noLocation,ManufOrder.noLocation,revisao,
ManufOrder.num,ManufOrder.num,revisao,
ManufOrder.operation,ManufOrder.operation,revisao,
"ManufOrder.operationDetails","ManufOrder.operationDetails",revisao,
ManufOrder.operations,ManufOrder.operations,revisao,
ManufOrder.origin,ManufOrder.origin,revisao,
"ManufOrder.plannedEndDate","ManufOrder.plannedEndDate",revisao,
"ManufOrder.plannedStartDate","ManufOrder.plannedStartDate",revisao,
ManufOrder.product,ManufOrder.product,revisao,
"ManufOrder.productBarcode","ManufOrder.productBarcode",revisao,
ManufOrder.productCode,ManufOrder.productCode,revisao,
ManufOrder.productName,ManufOrder.productName,revisao,
"ManufOrder.productionProcess","ManufOrder.productionProcess",revisao,
"ManufOrder.productsToPrepare","ManufOrder.productsToPrepare",revisao,
ManufOrder.quantity,ManufOrder.quantity,revisao,
ManufOrder.rack,ManufOrder.rack,revisao,
ManufOrder.seq,ManufOrder.seq,revisao,
ManufOrder.serial,ManufOrder.serial,revisao,
ManufOrder.standBy,ManufOrder.standBy,revisao,
ManufOrder.startDate,ManufOrder.startDate,revisao,
ManufOrder.status,ManufOrder.status,revisao,
ManufOrder.stockLocation,ManufOrder.stockLocation,revisao,
ManufOrder.title,ManufOrder.title,revisao,
ManufOrder.to,ManufOrder.to,revisao,
ManufOrder.total,ManufOrder.total,revisao,
"ManufOrder.trackingNumber","ManufOrder.trackingNumber",revisao,
ManufOrder.workCenter,ManufOrder.workCenter,revisao,
Manufacturing,Fabricação,revisao,
"Manufacturing Dashboard","Painel de Fabricação",revisao,
"Manufacturing Order (StockMove In)","Ordem de Fabricação (StockMove In)",revisao,
"Manufacturing Order (StockMove Out)","Ordem de Fabricação (StockMove Out)",revisao,
"Manufacturing order","Ordem de fabricação",revisao,
"Manufacturing order filters","Filtros de ordem de fabricação",revisao,
"Manufacturing order sequence","Seqüência de ordem de fabricação",revisao,
"Manufacturing orders","Ordens de fabricação",revisao,
"Manufacturing orders on StandBy","Pedidos de fabricação em StandBy",revisao,
"Manufacturing process","Processo de manufatura",revisao,
"Manufacturing proposal","Proposta de fabricação",revisao,
"Max depth reached when copying BOM.","Profundidade máxima atingida ao copiar a lista de materiais.",revisao,
"Max. capacity / cycle","Max. capacidade / ciclo",revisao,
