key,message,comment,context
"%s project","projeto% s",revisao,
"0 %",,revisao,
"10 %","10%",revisao,
"100 %","100%",revisao,
"20 %","20%",revisao,
"30 %","30%",revisao,
"40 %","40%",revisao,
"50 %","50%",revisao,
"60 %","60%",revisao,
"70 %","70%",revisao,
"80 %","80%",revisao,
"90 %","90%",revisao,
"<span class='label label-info'>Computed automatically if left empty</span>","<span class='label label-info'>Computado automaticamente se deixado vazio</span>",revisao,
Actions,Ações,revisao,
"Add multiple lines","Adicione várias linhas",revisao,
"Add selected lines","Adicionar linhas selecionadas",revisao,
"All phase tasks","Todas as tarefas de fase",revisao,
"All phases","Todas as fases",revisao,
"All tasks","Todas as tarefas",revisao,
"App project","Projeto App",revisao,
"Assigned to","Atribuído a",revisao,
"Book resource","Recurso do livro",revisao,
Business,"O negócio",revisao,
"Business project","Projeto empresarial",revisao,
"By Default","Por padrão",revisao,
Cancel,Cancelar,revisao,
Canceled,Cancelado,revisao,
Category,Categoria,revisao,
Characteristics,Características,revisao,
"Child Projects","Projetos Infantis",revisao,
Code,Código,revisao,
Company,Empresa,revisao,
Configuration,Configuração,revisao,
Configurations,Configurações,revisao,
Content,Conteúdo,revisao,
"Create invoicing project","Criar projeto de faturamento",revisao,
Currency,Moeda,revisao,
Customer,Cliente,revisao,
"Customer Contact","Contato do cliente",revisao,
"Customer Invoice lines","Linhas de factura do cliente",revisao,
Dates,datas,revisao,
Deadline,"Data limite",revisao,
"Deadline Today","Prazo Hoje",revisao,
"Deadline Tomorrow","Prazo de Amanhã",revisao,
"Deadline Yesterday","Prazo de Entrega Ontem",revisao,
"Default status","Status padrão",revisao,
"Delay to start (Hours)","Atraso para começar (horas)",revisao,
Description,Descrição,revisao,
"Due Date","Data de Vencimento",revisao,
"Duration (Hours)","Duração (horas)",revisao,
"Duration hours","Horas de duração",revisao,
"Exclude planning","Excluir planejamento",revisao,
"Expense lines","Linhas de despesa",revisao,
Expenses,Despesas,revisao,
"Extends members from parent","Estende membros do pai",revisao,
"Financial Data","Dados financeiros",revisao,
"Financial Report","Relatório financeiro",revisao,
Finish,Terminar,revisao,
"Finish tasks to finish","Conclua as tarefas para terminar",revisao,
"Finish tasks to start","Conclua as tarefas para iniciar",revisao,
Finished,Acabado,revisao,
Follow-up,Acompanhamento,revisao,
Followers,Seguidores,revisao,
"From Date","Da data",revisao,
"From date","Da data",revisao,
Gantt,Gantt,revisao,
"Gantt with project","Gantt com projeto",revisao,
