key,message,comment,context
"50 Latest Supplier Orders","50 últimas encomendas de fornecedores",revisao,
"A tax line is missing","Uma linha de imposto está faltando",revisao,
ATI,,revisao,
Accept,Aceitar,revisao,
"Accept and generate PO","Aceitar e gerar PO",revisao,
Accepted,Aceitaram,revisao,
Actions,Ações,revisao,
Add,,revisao,
"All requests accepted","Todos os pedidos aceitos",revisao,
"All requests sent","Todos os pedidos enviados",revisao,
Amount,Montante,revisao,
"Amount A.T.I.","Quantidade ATI",revisao,
"Amount invoiced W.T.","Montante faturado WT",revisao,
"Amount to be spread over the timetable","Montante a ser distribuído pelo horário",revisao,
Analytics,Analytics,revisao,
"App purchase","Compra de aplicativos",revisao,
"Apply to all","Aplicar a todos",revisao,
Attributes,Atributos,revisao,
"Base W.T.","Base WT",revisao,
Budget,Despesas,revisao,
"Budget distribution","Distribuição de orçamento",revisao,
"Business Project","Projeto de Negócios",revisao,
"Business project","Projeto empresarial",revisao,
Buyer,Comprador,revisao,
"Calculated price/Qty","Preço calculado / Qty",revisao,
Cancel,Cancelar,revisao,
"Cancel receipt","Cancelar recibo",revisao,
Canceled,Cancelado,revisao,
"Canceled orders","Pedidos cancelados",revisao,
Characteristics,Características,revisao,
"Closed Purchase orders","Pedidos fechados de compra",revisao,
Code,Código,revisao,
Company,Empresa,revisao,
"Company bank","Banco da empresa",revisao,
Configuration,Configuração,revisao,
Confirm,confirme,revisao,
"Confirm my cart","Confirme meu carrinho",revisao,
Confirmation,Confirmação,revisao,
Contact,Contato,revisao,
"Contact partner","Parceiro de contato",revisao,
Contacts,Contatos,revisao,
Content,Conteúdo,revisao,
Currency,Moeda,revisao,
"Current Purchase orders","Pedidos de compra atuais",revisao,
"Custom field","Campo customizado",revisao,
"Custom fields","Os campos personalizados",revisao,
Dashboard,"painel de controle",revisao,
Dates,datas,revisao,
Deliver,Entregar,revisao,
"Deliver Partially","Entregar parcialmente",revisao,
Delivery,Entrega,revisao,
Description,Descrição,revisao,
"Description To Display","Descrição para exibir",revisao,
"Desired receipt date","Data de recebimento desejada",revisao,
"Discount Type","Tipo de desconto",revisao,
"Discount amount","Quantidade de desconto",revisao,
"Discount rate","Taxa de desconto",revisao,
"Display buyer on printing","Exibir comprador na impressão",revisao,
"Display price on requested purchase printing","Exibir preço na impressão de compra solicitada",revisao,
"Display product code on printing","Exibir o código do produto na impressão",revisao,
"Display product detail on printing","Exibir detalhes do produto na impressão",revisao,
"Display supplier code on printing","Exibir código do fornecedor na impressão",revisao,
"Display tax detail on printing","Exibir detalhes de imposto sobre impressão",revisao,
"Displayed Product name","Nome do produto exibido",revisao,
Draft,"Esboço, projeto",revisao,
"Enable product description copy","Ativar cópia da descrição do produto",revisao,
"Estim. receipt date","Estim. data do recibo",revisao,
"Estimated delivery Date","Data de Entrega Estimada",revisao,
"Filter on supplier","Filtrar no fornecedor",revisao,
"Finish the order","Termine o pedido",revisao,
Finished,Acabado,revisao,
"Finished orders","Ordens concluídas",revisao,
"Fixed Assets","Ativo permanente",revisao,
Follow-up,Acompanhamento,revisao,
"From Date","Da data",revisao,
"Full name","Nome completo",revisao,
"Generate PO","Gerar PO",revisao,
"Generate control invoice","Gerar fatura de controle",revisao,
"Generate purchase configurations","Gere configurações de compra",revisao,
"Generate supplier arrival","Gerar chegada do fornecedor",revisao,
"Generate suppliers requests","Gerar solicitações de fornecedores",revisao,
"Group by product","Agrupar por produto",revisao,
"Group by supplier","Agrupar por fornecedor",revisao,
Historical,Histórico,revisao,
"Historical Period","Período Histórico",revisao,
"In ATI","Na ATI",revisao,
"In Stock Moves","Em movimentos de estoque",revisao,
Information,"Em formação",revisao,
"Internal Note","Nota Interna",revisao,
"Internal Ref.","Ref. Interno",revisao,
"Internal note","Nota interna",revisao,
"Internal purchase requests","Solicitações de compra internas",revisao,
"Invoice Lines","Linhas de fatura",revisao,
Invoiced,Facturado,revisao,
Invoices,Faturas,revisao,
Invoicing,Facturação,revisao,
"Last update","Última atualização",revisao,
"Manage multiple purchase quantity","Gerenciar várias quantidades de compras",revisao,
"Manage purchase order versions","Gerenciar versões do pedido",revisao,
"Manage purchases unit on products","Gerenciar unidade de compras em produtos",revisao,
"Manage supplier catalog","Gerenciar catálogo de fornecedores",revisao,
"Merge into single purchase order","Mesclar em pedido de compra único",revisao,
"Merge purchase orders","Mesclar pedidos de compra",revisao,
"Merge quotations","Mesclar cotações",revisao,
"Message for requesting prices","Mensagem para solicitar preços",revisao,
"Min sale price","Preço de venda mínima",revisao,
Month,Mês,revisao,
"My Closed Purchase orders","Meus pedidos de compra fechados",revisao,
"My Ongoing Purchase orders","Minhas ordens de compra em andamento",revisao,
"My Orders to process","Minhas ordens para processar",revisao,
"My Purchase orders","Meus pedidos de compra",revisao,
"My Purchase request","Minha solicitação de compra",revisao,
"My RFQs","Minhas PDOs",revisao,
"My RFQs and POs To Validate (Requested & Received)","Minhas RFQs e POs para validar (solicitadas e recebidas)",revisao,
"My Sales","Minhas vendas",revisao,
"My Validated POs","Meus pedidos validados",revisao,
"My purchased amount by product family","Minha quantia comprada por família de produtos",revisao,
"My purchased qty by product family","Meu qty comprado pela família de produtos",revisao,
Name,Nome,revisao,
"Nbr of PO by month","Nbr de PO por mês",revisao,
"New product","Novo produto",revisao,
"New version","Nova versão",revisao,
"Not invoiced","Não faturado",revisao,
"Not received","Não recebido",revisao,
OR,,revisao,
"Ongoing Purchase orders","Pedidos de compra em andamento",revisao,
"Order Date","Data do pedido",revisao,
Ordered,Pedido,revisao,
Overview,"visão global",revisao,
"PO Management","Gerenciamento de PO",revisao,
"PO Tax line","Linha de imposto",revisao,
"PO Tax lines","Linhas fiscais",revisao,
"PO line","Linha PO",revisao,
"PO lines","Linhas PO",revisao,
"PO lines detail","Detalhe das linhas de PO",revisao,
"POs Volume by buyer by family","POs Volume por comprador por família",revisao,
"Partial delivery","Entrega parcial",revisao,
"Partially invoiced","Parcialmente faturado",revisao,
"Partially received","Parcialmente recebido",revisao,
"Partner price lists","Listas de preços para parceiros",revisao,
Percent,"Por cento",revisao,
"Please enter at least one detail line.","Por favor, insira pelo menos uma linha de detalhe.",revisao,
"Please enter supplier for following purchase request : %s","Por favor, entre com o fornecedor para o seguinte pedido de compra:% s",revisao,
"Please fill printing settings on following purchase orders: %s","Preencha as configurações de impressão nos seguintes pedidos:% s",revisao,
"Please fill printing settings on purchase order %s","Preencha as configurações de impressão no pedido de compra% s",revisao,
"Please select the purchase order(s) to print.","Por favor, selecione o (s) pedido (s) de compra para imprimir.",revisao,
"Price List","Lista de preços",revisao,
"Price list","Lista de preços",revisao,
"Price lists","Lista de preços",revisao,
Print,Impressão,revisao,
Printing,Impressão,revisao,
"Printing settings","Configurações de impressão",revisao,
Product,produtos,revisao,
"Product Family","Produto familiar",revisao,
"Product code on catalog","Código do produto no catálogo",revisao,
"Product name on catalog","Nome do produto no catálogo",revisao,
"Products & services","Produtos e serviços",revisao,
"Products list","Lista de produtos",revisao,
Purchase,Compra,revisao,
"Purchase Buyer","Comprador de compras",revisao,
"Purchase Manager","Gerente de compras",revisao,
"Purchase blocking","Bloqueio de compra",revisao,
"Purchase config","Configuração de compra",revisao,
"Purchase config (${ name })","Configuração de compra ($ {name})",revisao,
"Purchase configuration","Configuração de compra",revisao,
"Purchase configurations","Configurações de compra",revisao,
"Purchase order","Ordem de compra",revisao,
"Purchase order created","Pedido de compra criado",revisao,
"Purchase order information","Informação do pedido de compra",revisao,
"Purchase orders","Ordens de compra",revisao,
"Purchase orders ATI/WT","Pedidos de compra ATI / WT",revisao,
"Purchase orders Details","Detalhes dos pedidos de compra",revisao,
"Purchase orders to merge","Ordens de compra para mesclar",revisao,
"Purchase quotations","Cotações de compra",revisao,
"Purchase request","Pedido de compra",revisao,
"Purchase request creator","Criador de pedidos de compra",revisao,
"PurchaseOrder.afterDiscount","PurchaseOrder.afterDiscount",revisao,
PurchaseOrder.base,PurchaseOrder.base,revisao,
PurchaseOrder.buyer,PurchaseOrder.buyer,revisao,
PurchaseOrder.buyerEmail,PurchaseOrder.buyerEmail,revisao,
PurchaseOrder.buyerPhone,PurchaseOrder.buyerPhone,revisao,
PurchaseOrder.canceled,PurchaseOrder.canceled,revisao,
PurchaseOrder.customer,PurchaseOrder.customer,revisao,
"PurchaseOrder.customerRef","PurchaseOrder.customerRef",revisao,
"PurchaseOrder.deliveryAddress","PurchaseOrder.deliveryAddress",revisao,
"PurchaseOrder.deliveryDate","PurchaseOrder.deliveryDate",revisao,
"PurchaseOrder.description","PurchaseOrder.description",revisao,
"PurchaseOrder.desiredDelivDate","PurchaseOrder.desiredDelivDate",revisao,
"PurchaseOrder.discountAmount","PurchaseOrder.discountAmount",revisao,
PurchaseOrder.draft,PurchaseOrder.draft,revisao,
PurchaseOrder.finished,PurchaseOrder.finished,revisao,
"PurchaseOrder.invoicingAddress","PurchaseOrder.invoicingAddress",revisao,
PurchaseOrder.note,PurchaseOrder.note,revisao,
PurchaseOrder.order,PurchaseOrder.order,revisao,
PurchaseOrder.orderDate,PurchaseOrder.orderDate,revisao,
"PurchaseOrder.paymentCondition","PurchaseOrder.paymentCondition",revisao,
"PurchaseOrder.paymentMode","PurchaseOrder.paymentMode",revisao,
"PurchaseOrder.priceExclTax","PurchaseOrder.priceExclTax",revisao,
"PurchaseOrder.priceInclTax","PurchaseOrder.priceInclTax",revisao,
"PurchaseOrder.productStandard","PurchaseOrder.productStandard",revisao,
"PurchaseOrder.purchaseInfo","PurchaseOrder.purchaseInfo",revisao,
PurchaseOrder.qtyUnit,PurchaseOrder.qtyUnit,revisao,
PurchaseOrder.quote,PurchaseOrder.quote,revisao,
PurchaseOrder.ref,PurchaseOrder.ref,revisao,
PurchaseOrder.reference,PurchaseOrder.reference,revisao,
PurchaseOrder.requested,PurchaseOrder.requested,revisao,
PurchaseOrder.state,PurchaseOrder.state,revisao,
"PurchaseOrder.statusCanceled","PurchaseOrder.statusCanceled",revisao,
"PurchaseOrder.statusDraft","PurchaseOrder.statusDraft",revisao,
"PurchaseOrder.statusFinished","PurchaseOrder.statusFinished",revisao,
"PurchaseOrder.statusRequested","PurchaseOrder.statusRequested",revisao,
"PurchaseOrder.statusValidated","PurchaseOrder.statusValidated",revisao,
PurchaseOrder.supplier,PurchaseOrder.supplier,revisao,
"PurchaseOrder.supplierCode","PurchaseOrder.supplierCode",revisao,
PurchaseOrder.supplyRef,PurchaseOrder.supplyRef,revisao,
PurchaseOrder.tax,PurchaseOrder.tax,revisao,
PurchaseOrder.taxAmount,PurchaseOrder.taxAmount,revisao,
"PurchaseOrder.totalDiscount","PurchaseOrder.totalDiscount",revisao,
"PurchaseOrder.totalExclTax","PurchaseOrder.totalExclTax",revisao,
"PurchaseOrder.totalExclTaxWithoutDiscount","PurchaseOrder.totalExclTaxWithoutDiscount",revisao,
"PurchaseOrder.totalInclTax","PurchaseOrder.totalInclTax",revisao,
PurchaseOrder.totalTax,PurchaseOrder.totalTax,revisao,
PurchaseOrder.unitPrice,PurchaseOrder.unitPrice,revisao,
PurchaseOrder.validated,PurchaseOrder.validated,revisao,
Purchased,Comprado,revisao,
"Purchased amount by family","Quantidade comprada pela família",revisao,
"Purchased amount by product family","Quantia comprada pela família de produtos",revisao,
"Purchased amount distribution by family","Distribuição da quantidade comprada pela família",revisao,
Purchases,Compras,revisao,
"Purchases Order filters","Filtros de pedidos de compras",revisao,
"Purchases follow-up","Acompanhamento de compras",revisao,
"Purchases unit","Unidade de compras",revisao,
Qty,,revisao,
Quantity,Quantidade,revisao,
"Quantity min","Quantidade min",revisao,
Quotation,cotação,revisao,
"RFQ And PO To Validate","RFQ e PO para validar",revisao,
"Receipt State","Estado de Recebimento",revisao,
Received,Recebido,revisao,
"Received quantity","Quantidade recebida",revisao,
Ref.,Ref.,revisao,
"Reference already existing","Referência já existente",revisao,
References,Referências,revisao,
Refuse,Recusar,revisao,
Refused,Recusou,revisao,
Reportings,Reportings,revisao,
Reports,Relatórios,revisao,
Request,Pedido,revisao,
Requested,Requeridos,revisao,
"Reverse charged","Carregamento reverso",revisao,
"Sale orders","Ordens de venda",revisao,
"Sale price","Preço de venda",revisao,
"Sale quotations","Cotações de venda",revisao,
"See purchase order lines","Veja linhas de ordem de compra",revisao,
"See purchase orders lines","Veja linhas de pedidos de compra",revisao,
"See quotation lines","Veja as linhas de cotação",revisao,
"Send Email","Enviar email",revisao,
"Send email","Enviar email",revisao,
Seq.,Seq.,revisao,
"Shipping Coefficients","Coeficientes de envio",revisao,
"Show invoice","Mostrar fatura",revisao,
Status,Status,revisao,
"Stock location","Localização de estoque",revisao,
"Stock move","Movimentação de estoque",revisao,
Supplier,Fornecedor,revisao,
"Supplier Catalog","Catálogo de Fornecedores",revisao,
"Supplier Catalog Lines","Linhas do catálogo de fornecedores",revisao,
"Supplier Comment","Comentário do Fornecedor",revisao,
"Supplier RFQ/PO","Fornecedor RFQ / PO",revisao,
"Supplier RFQs/POs","PDOs / POs do fornecedor",revisao,
"Supplier box in purchase order","Caixa de fornecedor no pedido",revisao,
"Supplier catalog","Catálogo de fornecedores",revisao,
"Supplier code","Código de fornecedor",revisao,
"Supplier invoices","Faturas de fornecedores",revisao,
"Supplier is required to generate a purchase order.","O fornecedor é obrigado a gerar um pedido de compra.",revisao,
"Supplier ref.",Ref.,revisao,
Suppliers,Fornecedores,revisao,
"Suppliers Map","Mapa de Fornecedores",revisao,
"Suppliers requests","Solicitações de fornecedores",revisao,
Tax,,revisao,
"Tax Equiv","Tax Equiv",revisao,
"Tax Lines","Linhas Fiscais",revisao,
Team,Equipe,revisao,
"The company %s doesn't have any configured sequence for the purchase orders","A empresa% s não possui nenhuma sequência configurada para os pedidos",revisao,
"The company is required and must be the same for all purchase orders","A empresa é obrigatória e deve ser a mesma para todos os pedidos",revisao,
"The currency is required and must be the same for all purchase orders","A moeda é obrigatória e deve ser a mesma para todos os pedidos",revisao,
"The field 'Stock Location' must be filled.","O campo &#39;Local de estoque&#39; deve ser preenchido.",revisao,
"The line cannot be null.","A linha não pode ser nula.",revisao,
"The minimum order quantity of %s to the supplier is not respected.","A quantidade mínima do pedido de% s para o fornecedor não é respeitada.",revisao,
"The supplier Partner is required and must be the same for all purchase orders","O parceiro do fornecedor é obrigatório e deve ser o mesmo para todos os pedidos",revisao,
"The trading name must be the same for all purchase orders","O nome comercial deve ser o mesmo para todos os pedidos",revisao,
"There is no sequence set for the purchase requests","Não há sequência definida para as solicitações de compra",revisao,
"This product is not available from the supplier.","Este produto não está disponível no fornecedor.",revisao,
"This supplier is blocked:","Este fornecedor está bloqueado:",revisao,
Timetable,Calendário,revisao,
Title,Título,revisao,
"Title Line","Linha de Título",revisao,
"To Date","Até a presente data",revisao,
Tools,Ferramentas,revisao,
"Total A.T.I.","Total ATI",revisao,
"Total A.T.I. in company currency","Total ATI na moeda da empresa",revisao,
"Total Purchased Amount by month","Total de valor comprado por mês",revisao,
"Total Purchased Qty by month","Total de Qtd comprado por mês",revisao,
"Total Tax","Taxa total",revisao,
"Total W.T.","Total WT",revisao,
"Total W.T. in company currency","Total WT na moeda da empresa",revisao,
"Total tax","Taxa total",revisao,
"Trading name","Nome comercial",revisao,
"Turn Over",Virar,revisao,
Unit,Unidade,revisao,
"Unit price","Preço unitário",revisao,
"Unit price A.T.I.","Preço unitário ATI",revisao,
