key,message,comment,context
"% of the operation","% da operação",revisao,
"Action proposed","Ação proposta",revisao,
Actions,Ações,revisao,
"Alert calendar","Calendário de alerta",revisao,
"All operations","Todas as operações",revisao,
Calendar,Calendário,revisao,
Cancel,Cancelar,revisao,
Canceled,Cancelado,revisao,
Code,Código,revisao,
Configuration,Configuração,revisao,
Confirm,confirme,revisao,
Confirmed,Confirmado,revisao,
"Control Frequency","Freqüência de Controle",revisao,
"Control Instructions","Instruções de Controle",revisao,
"Control Points","Pontos de controle",revisao,
"Control comment","Comentário de controle",revisao,
"Control point list","Lista de pontos de controle",revisao,
"Control point model list","Lista de modelos de ponto de controle",revisao,
"Control point name","Nome do ponto de controle",revisao,
"Control points","Pontos de controle",revisao,
"Control type","Tipo de controlo",revisao,
"Corrective actions","Ações corretivas",revisao,
"Create a quality alert","Crie um alerta de qualidade",revisao,
Date,Encontro,revisao,
Deadline,"Data limite",revisao,
Description,Descrição,revisao,
Draft,"Esboço, projeto",revisao,
Dummy,Manequim,revisao,
"Edit control points","Editar pontos de controle",revisao,
"End date","Data final",revisao,
Every,Cada,revisao,
Fail,Falhou,revisao,
Failed,Falhou,revisao,
"Failure reasons","Razões de falha",revisao,
Finish,Terminar,revisao,
Finished,Acabado,revisao,
"From Date","Da data",revisao,
"Full name","Nome completo",revisao,
High,Alto,revisao,
"In progress","Em progresso",revisao,
Instructions,Instruções,revisao,
Label,Rótulo,revisao,
Low,,revisao,
Measure,"A medida",revisao,
"Message if failure","Mensagem se falha",revisao,
"My alerts","Meus alertas",revisao,
"My quality controls","Meus controles de qualidade",revisao,
"My team alerts","Alertas da minha equipe",revisao,
"My team quality controls","Meus controles de qualidade da equipe",revisao,
Name,Nome,revisao,
New,,revisao,
Normal,Normal,revisao,
Notes,Notas,revisao,
"Number of quality alerts","Número de alertas de qualidade",revisao,
"Number of quality controls","Número de controles de qualidade",revisao,
"Number of solved quality alerts","Número de alertas de qualidade resolvidos",revisao,
Pass,Passar,revisao,
Pass-fail,Passar-falhar,revisao,
Passed,Passado,revisao,
Pause,Pausa,revisao,
Periodically,Periodicamente,revisao,
Plan,Plano,revisao,
Planned,Planejado,revisao,
"Pre-fill control points","Pontos de controle pré-preenchimento",revisao,
"Preventive actions","Ações preventivas",revisao,
Priority,Prioridade,revisao,
Product,produtos,revisao,
"Propose action","Propor ação",revisao,
Quality,Qualidade,revisao,
"Quality Dashboard","Painel de qualidade",revisao,
"Quality alert","Alerta de qualidade",revisao,
"Quality alert filters","Filtros de alerta de qualidade",revisao,
"Quality alerts","Alertas de qualidade",revisao,
"Quality control","Controle de qualidade",revisao,
"Quality control calendar","Calendário de controle de qualidade",revisao,
"Quality control filters","Filtros de controle de qualidade",revisao,
"Quality controls","Controles de qualidade",revisao,
"Quality process","Processo de qualidade",revisao,
"Quality processes","Processos de qualidade",revisao,
"Quality tag","Tag de qualidade",revisao,
"Quality teams","Equipes de qualidade",revisao,
Randomly,Aleatoriamente,revisao,
Reference,Referência,revisao,
Reportings,Reportings,revisao,
Result,Resultado,revisao,
"Root cause","Causa raiz",revisao,
"Root causes","Raiz dos problemas",revisao,
Sequence,Seqüência,revisao,
Solve,Resolver,revisao,
Solved,Resolvido,revisao,
Standby,Espera,revisao,
Start,Começar,revisao,
"Start date","Data de início",revisao,
Status,Status,revisao,
"Status select","Seleção de status",revisao,
Tags,Tag,revisao,
"Take a picture","Tirar uma foto",revisao,
Team,Equipe,revisao,
"Test type","Tipo de teste",revisao,
"To Date","Até a presente data",revisao,
"To do",Façam,revisao,
Urgent,Urgente,revisao,
"Week(s)","Semana (s)",revisao,
"Work center","Centro de Trabalho",revisao,
counter,contador,revisao,
quality.responsible,quality.responsible,revisao,
value:Quality,"valor: qualidade",revisao,
