key,message,comment,context
"%s : You must configure Sales module for company %s","% s: você deve configurar o módulo de vendas para a empresa% s",revisao,
"A cancel reason must be selected","Um motivo de cancelamento deve ser selecionado",revisao,
ATI,,revisao,
"Accepted Credit","Crédito aceito",revisao,
"Accounted Revenue","Receita contabilizada",revisao,
Action,Açao,revisao,
Actions,Ações,revisao,
Activate,Ativar,revisao,
"Add Line from Configurator","Adicionar linha do configurador",revisao,
"Advance Payment","Pagamento adiantado",revisao,
"Advance Payments","Pagamento antecipado",revisao,
"Advance payment total","Pagamento antecipado total",revisao,
Allocate,distribuir,revisao,
"Allocate all","Alocar tudo",revisao,
"Allocated stock","Estoque alocado",revisao,
"Allow pending order modification","Permitir modificação de pedido pendente",revisao,
Amount,Montante,revisao,
"Amount A.T.I.","Quantidade ATI",revisao,
"Amount Tax","Imposto sobre o valor",revisao,
"Amount invoiced W.T.","Montante faturado WT",revisao,
"Amount to be spread over the timetable","Montante a ser distribuído pelo horário",revisao,
Analytics,Analytics,revisao,
"App sale","Venda de aplicativos",revisao,
"At least one sale order line has a stock move with availability request.","Pelo menos uma linha de ordem de venda tem uma movimentação de estoque com solicitação de disponibilidade.",revisao,
Attributes,Atributos,revisao,
Authorizations,Autorizações,revisao,
"Authorized groups","Grupos autorizados",revisao,
"Authorized users","Usuários autorizados",revisao,
"Availability Request","Solicitação de disponibilidade",revisao,
"Availability request","Solicitação de disponibilidade",revisao,
"Available stock","Estoque disponível",revisao,
"Base W.T.","Base WT",revisao,
Batchs,Lotes,revisao,
Bi-monthly,Bimensal,revisao,
Blocked,Bloqueado,revisao,
"Business Project","Projeto de Negócios",revisao,
"Business project","Projeto empresarial",revisao,
"Calculated fields on configurator","Campos calculados no configurador",revisao,
Cancel,Cancelar,revisao,
"Cancel Reason","Cancelar motivo",revisao,
"Cancel Reasons","Cancelar motivos",revisao,
"Cancel reason","Cancelar motivo",revisao,
"Cancel reservation","Cancelar reserva",revisao,
Canceled,Cancelado,revisao,
"Canceled orders","Pedidos cancelados",revisao,
Cancellation,Cancelamento,revisao,
"Cancellation confirmation","Confirmação de cancelamento",revisao,
Category,Categoria,revisao,
"Category sale turnover (Excl. Tax) per month","Rotatividade de vendas de categoria (excl. Imposto) por mês",revisao,
"Change allocated qty","Alterar qty alocado",revisao,
"Change requested reserved qty","Alteração solicitada qty reservado",revisao,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.","Mudanças foram feitas no criador do configurador. Por favor, ative o criador do configurador para usá-lo.",revisao,
Characteristics,Características,revisao,
"Check the script","Verifique o script",revisao,
"Client box in sale order","Caixa do cliente em ordem de venda",revisao,
"Client is sale blocked:","Cliente está bloqueado:",revisao,
"Close opportunity when one of the linked sale orders is confirmed","Fechar oportunidade quando um dos pedidos de venda vinculados é confirmado",revisao,
Code,Código,revisao,
Comment,Comente,revisao,
Company,Empresa,revisao,
"Company bank","Banco da empresa",revisao,
"Company currency","Moeda da empresa",revisao,
"Complete manually sale order","Conclua manualmente a ordem de venda",revisao,
"Completed orders","Pedidos concluídos",revisao,
Conditions,Condições,revisao,
Configuration,Configuração,revisao,
Configurator,Configurador,revisao,
"Configurator BoM","Configurador BoM",revisao,
"Configurator creator name","Nome do criador do configurador",revisao,
"Configurator creators","Criadores do configurador",revisao,
"Configurator formula list","Lista de fórmulas do configurador",revisao,
"Configurator type","Tipo de configurador",revisao,
ConfiguratorCreator,ConfiguratorCreator,revisao,
ConfiguratorCreators,ConfiguratorCreators,revisao,
Configurators,Configuradores,revisao,
Configure,Configurar,revisao,
"Confirm cancellation","Confirme cancelamento",revisao,
"Confirm order","Confirmar pedido",revisao,
Confirmation,Confirmação,revisao,
"Confirmation date","Data de confirmação",revisao,
"Confirmed by","Confirmado por",revisao,
Confirmer,Confirmar,revisao,
"Contact partner","Parceiro de contato",revisao,
Contacts,Contatos,revisao,
Content,Conteúdo,revisao,
"Contract end date","Data de término do contrato",revisao,
"Contract period in months","Período de contrato em meses",revisao,
"Contract start date","Data de início do contrato",revisao,
Country,País,revisao,
"Create Order from this Template","Criar pedido deste modelo",revisao,
"Creation date","Data de criação",revisao,
Currency,Moeda,revisao,
"Current Login user","Usuário de login atual",revisao,
"Custom field","Campo customizado",revisao,
"Custom fields","Os campos personalizados",revisao,
Customer,Cliente,revisao,
"Customer Catalog","Catálogo do cliente",revisao,
"Customer Catalog Lines","Linhas de catálogo do cliente",revisao,
"Customer Credit","Crédito ao Cliente",revisao,
"Customer catalog lines","Linhas de catálogo do cliente",revisao,
"Customer contact","Contato do cliente",revisao,
"Customer deliveries","Entregas ao cliente",revisao,
"Customer deliveries details","Detalhes das entregas ao cliente",revisao,
"Customer information","Informação ao Cliente",revisao,
"Customer reference","Referência do cliente",revisao,
"Customer specific note","Nota específica do cliente",revisao,
Customers,clientes,revisao,
"Customize BOM","Personalizar lista técnica",revisao,
Dashboard,"painel de controle",revisao,
"Data file","Arquivo de dados",revisao,
Date,Encontro,revisao,
Dates,datas,revisao,
Day,,revisao,
Deallocate,Deallocate,revisao,
"Deallocate all","Deallocate all",revisao,
"Default value for sublines","Valor padrão para sublines",revisao,
"Define as template","Definir como modelo",revisao,
Delivered,Entregue,revisao,
"Delivered quantity","Quantidade entregue",revisao,
Delivery,Entrega,revisao,
"Delivery address","Endereço de entrega",revisao,
"Delivery conditions","Condições de entrega",revisao,
"Delivery information","Informação de entrega",revisao,
Description,Descrição,revisao,
"Description to display","Descrição para exibir",revisao,
"Desired delivery date","Data de entrega desejada",revisao,
"Details Lines","Linhas de Detalhes",revisao,
Discount,Desconto,revisao,
"Discount Type","Tipo de desconto",revisao,
"Discount amount","Quantidade de desconto",revisao,
"Discount rate","Taxa de desconto",revisao,
"Display customer code on printing","Exibir o código do cliente na impressão",revisao,
"Display delivery condition on printing","Exibir condição de entrega na impressão",revisao,
"Display estimated delivery dates on printing","Exibir datas de entrega estimadas na impressão",revisao,
"Display product code on printing","Exibir o código do produto na impressão",revisao,
"Display product picture on printing","Exibir a imagem do produto na impressão",revisao,
"Display saleman on printing","Exibir vendedor na impressão",revisao,
"Display tax detail on printing","Exibir detalhes de imposto sobre impressão",revisao,
"Displayed Product name","Nome do produto exibido",revisao,
Draft,"Esboço, projeto",revisao,
"Draft quotation","Cotação de rascunho",revisao,
Durations,"As duracoes",revisao,
"Edit order","Editar pedido",revisao,
