key,message,comment,context
"${fullName} plan. st. move","plano de $ {fullName}. st. mover",revisao,
"${fullName} real st. move","$ {fullName} real st. mover",revisao,
0.00,"0,00",revisao,
0.50,"0,50",revisao,
1.00,"1,00",revisao,
1.50,"1,50",revisao,
2.00,"2,00",revisao,
2.50,"2,50",revisao,
3.00,"3,00",revisao,
3.50,"3,50",revisao,
4.00,"4,00",revisao,
4.50,"4,50",revisao,
5.00,"5,00",revisao,
"<B>%s or %s</B> not found","<B>% s ou% s</b> não encontrados",revisao,
"A cancel reason must be selected","Um motivo de cancelamento deve ser selecionado",revisao,
"A partial stock move has been generated (%s)","Um movimento parcial de estoque foi gerado (% s)",revisao,
"Account selection to carrier","Seleção de conta para transportadora",revisao,
Add,,revisao,
Address,Endereço,revisao,
Alert,Alerta,revisao,
"All storable products used in DEB must have net mass and mass unit information for customs.","Todos os produtos armazenáveis utilizados no DEB devem ter informações líquidas sobre a massa e a massa da alfândega.",revisao,
"Allocate all","Alocar tudo",revisao,
"Allocations of costs","Atribuições de custos",revisao,
"An error occurred while importing the file data, product not found with code :","Ocorreu um erro ao importar os dados do arquivo, produto não encontrado com o código:",revisao,
"An error occurred while importing the file data, there are multiple products with code :","Ocorreu um erro ao importar os dados do arquivo, existem vários produtos com código:",revisao,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","Ocorreu um erro ao importar os dados do arquivo. Entre em contato com o administrador do aplicativo para verificar os logs do Traceback.",revisao,
"An incoming partial stock move has been generated (%s)","Um movimento de estoque parcial recebido foi gerado (% s)",revisao,
"An outgoing partial stock move has been generated (%s)","Um movimento de estoque parcial de saída foi gerado (% s)",revisao,
"App stock","Estoque de aplicativos",revisao,
"Are you sure you want to change status to  ""Collected "" ?","Tem certeza de que deseja alterar o status para &quot;Recolhido&quot;?",revisao,
"Are you sure you want to go back to provision ?","Tem certeza de que deseja voltar a provisionar?",revisao,
"Are you sure you want to realize this stock move?","Tem certeza de que deseja realizar essa movimentação de estoque?",revisao,
"Are you sure you want to validate the carrier?","Tem certeza de que deseja validar a operadora?",revisao,
"Arrival product qty","Produto da chegada qty",revisao,
"Arrivals History","Histórico de chegadas",revisao,
"Auto product tracking Nbr. order","Rastreamento automático de produtos ordem",revisao,
"Auto sale tracking Nbr. order","Acompanhamento de venda automática Nbr. ordem",revisao,
"Auto select product tracking Nbr.","Seleção automática de acompanhamento de produtos Nbr.",revisao,
"Auto select sale tracking Nbr.","Acompanhamento de venda de seleção automática Nbr.",revisao,
"Av. for product","Av. para produto",revisao,
"Availability request","Solicitação de disponibilidade",revisao,
Available,acessível,revisao,
"Available qty","Qty disponível",revisao,
"Available qty for product","Qty disponível para o produto",revisao,
"Available status","Status disponível",revisao,
"Average Price","Preço médio",revisao,
"Back to provision","Voltar para provisão",revisao,
Backorder,"Pedido em espera",revisao,
"Backorder Id","Id de pedido em atraso",revisao,
"Backorder Stock Move","Mover estoque de pedido pendente",revisao,
"Bad stock location lines","Linhas de localização de estoque ruins",revisao,
"Bad stock move type","Tipo de movimento de estoque ruim",revisao,
Barter,Barter,revisao,
"Both source location address and delivery (to) address are required to define the delivery itinerary","Tanto o endereço do local de origem quanto o endereço de entrega (para) são necessários para definir o itinerário de entrega",revisao,
Buyer,Comprador,revisao,
Buyer/Seller,"Comprador vendedor",revisao,
CSV,,revisao,
"Can't delete a planned stock move","Não é possível excluir um movimento de estoque planejado",revisao,
"Can't realize this stock move because of the ongoing inventory %s.","Não é possível realizar essa movimentação de estoque por causa do inventário em andamento% s.",revisao,
Cancel,Cancelar,revisao,
"Cancel reason","Cancelar motivo",revisao,
Canceled,Cancelado,revisao,
Cancellation,Cancelamento,revisao,
"Cancellation confirmation","Confirmação de cancelamento",revisao,
"Cancelled Arrivals","Chegadas canceladas",revisao,
"Cannot go back to draft status.","Não é possível voltar ao status de rascunho.",revisao,
"Carriage (Sea/Air) to port of import","Transporte (Marítimo / Aéreo) para o porto de importação",revisao,
"Carriage to place of destination","Transporte para o local de destino",revisao,
"Carriage to port of export","Transporte para o porto de exportação",revisao,
Carrier,Transportadora,revisao,
"Carrier validated","Transportadora validada",revisao,
"Certificate of conformity","Certificado de conformidade",revisao,
"Certificate of conformity title","Certificado de título de conformidade",revisao,
"Check Duplicate","Verificar duplicado",revisao,
Code,Código,revisao,
Collected,Coletado,revisao,
"Collection date","Data de coleta",revisao,
"Commercial regularization resulting in value increase","Regularização comercial resultando em aumento de valor",revisao,
"Commercial regularization resulting in value reduction","Regularização comercial resultando em redução de valor",revisao,
Company,Empresa,revisao,
"Company Unit price W.T.","Preço unitário da empresa WT",revisao,
"Company account","Conta da empresa",revisao,
"Company address is empty.","O endereço da empresa está vazio.",revisao,
"Company cannot be null.","Empresa não pode ser nula.",revisao,
"Company missing for stock location %s","Empresa desaparecida por local de estoque% s",revisao,
Complete,Completo,revisao,
Completed,Concluído,revisao,
Compliant,Compatível,revisao,
"Compliant arrival product qty","Quantidade de produtos de chegada em conformidade",revisao,
Configuration,Configuração,revisao,
"Confirm cancellation","Confirme cancelamento",revisao,
Conformity,Conformidade,revisao,
"Conformity Certificates","Certificados de conformidade",revisao,
"Conformity certificate","Certificado de conformidade",revisao,
"ConformityCertificate.certificateNumber","ConformityCertificate.certificateNumber",revisao,
"ConformityCertificate.customerName","ConformityCertificate.customerName",revisao,
"ConformityCertificate.designation","ConformityCertificate.designation",revisao,
"ConformityCertificate.function","ConformityCertificate.function",revisao,
"ConformityCertificate.name","ConformityCertificate.name",revisao,
"ConformityCertificate.numberAndDateDelivery","ConformityCertificate.numberAndDateDelivery",revisao,
"ConformityCertificate.orderDate","ConformityCertificate.orderDate",revisao,
"ConformityCertificate.orderNumber","ConformityCertificate.orderNumber",revisao,
"ConformityCertificate.partNumber","ConformityCertificate.partNumber",revisao,
"ConformityCertificate.qty","ConformityCertificate.qty",revisao,
"ConformityCertificate.quantity","ConformityCertificate.quantity",revisao,
"ConformityCertificate.sequence","ConformityCertificate.sequence",revisao,
"ConformityCertificate.signature","ConformityCertificate.signature",revisao,
"Consignments by post","Remessas por correio",revisao,
"Control on Receipt","Controle no recebimento",revisao,
Counter,Contador,revisao,
Country,País,revisao,
"Country of origin","País de origem",revisao,
"Create inventory","Criar inventário",revisao,
Current,Atual,revisao,
"Current Qty","Qtde atual",revisao,
"Current Quantity","Quantidade atual",revisao,
"Current quantity problem","Problema de quantidade atual",revisao,
"Cust. Shipment to prepare","Cust. Expedição para preparar",revisao,
"Customer account","Conta de cliente",revisao,
"Customer account number","Número da conta do cliente",revisao,
"Customer account number to carrier","Número da conta do cliente para transportadora",revisao,
"Customer account numbers to carriers","Números de contas de clientes para transportadoras",revisao,
"Customer average delivery delay","Atraso de entrega média do cliente",revisao,
"Customer deliveries","Entregas ao cliente",revisao,
"Customer deliveries by country","Entregas ao cliente por país",revisao,
"Customer deliveries filters","Filtros de entregas ao cliente",revisao,
"Customer deliveries statistics","Estatísticas de entregas ao cliente",revisao,
"Customer delivery","Entrega ao cliente",revisao,
"Customer return","Retorno do cliente",revisao,
"Customer returns","Retorno do consumidor",revisao,
"Customer virtual stock location","Localização de estoque virtual do cliente",revisao,
Customs,Costumes,revisao,
"Customs code","Código aduaneiro",revisao,
"Customs code nomenclature","Nomenclatura do código aduaneiro",revisao,
"Customs code nomenclature:all","Nomenclatura do código aduaneiro: todas",revisao,
Dashboard,"painel de controle",revisao,
"Data is null or empty","Os dados são nulos ou vazios",revisao,
Date,Encontro,revisao,
"Deallocate all","Deallocate all",revisao,
"Declaration of exchanges for %s is not supported.","A declaração de trocas para% s não é suportada.",revisao,
"Default signatory user","Usuário signatário padrão",revisao,
"Default stock location","Localização de estoque padrão",revisao,
"Defense or intergovernmental program","Defesa ou programa intergovernamental",revisao,
"Define ideal Qty","Definir quantidade ideal",revisao,
"Define max Qty","Definir o máximo de Qtd",revisao,
Delay,Demora,revisao,
"Deliver to customer","Entregar ao cliente",revisao,
"Deliver to customer is not set.","Entregar ao cliente não está definido.",revisao,
Deliveries,Entregas,revisao,
"Deliveries Cancelled","Entregas Canceladas",revisao,
"Deliveries Details","Detalhes das entregas",revisao,
"Deliveries History","Histórico de Entregas",revisao,
"Deliveries to prepare","Entregas para preparar",revisao,
"Delivery delay (days)","Atraso de entrega (dias)",revisao,
"Delivery for trial sale","Entrega para venda experimental",revisao,
"Delivery number","Número de entrega",revisao,
"Delivery stock move","Movimentação do estoque de entrega",revisao,
"Deported stock location","Local de estoque deportado",revisao,
Description,Descrição,revisao,
Detail,Detalhe,revisao,
"Detail line(s) not inside a parcel/pallet","Linha (s) detalhada (s) não dentro de uma parcela / palete",revisao,
"Detailed stock","Estoque detalhado",revisao,
Details,Detalhes,revisao,
"Details stock location lines","Detalhes das linhas de localização de estoque",revisao,
"Dimensions (cm)","Dimensões (cm)",revisao,
"Display accounting value in location financial data printing","Exibir o valor contábil na impressão de dados financeiros de localização",revisao,
"Display available tracking numbers","Exibir os números de rastreamento disponíveis",revisao,
"Display barcode on Picking printing","Exibir código de barras em impressão de picking",revisao,
"Display customer code on picking printing","Exibir o código do cliente na impressão de picking",revisao,
"Display line details on printing","Exibir detalhes da linha na impressão",revisao,
"Display partner sequence on printing","Exibir a seqüência de parceiros na impressão",revisao,
"Display sale value in location financial data printing","Exibir valor de venda na impressão de dados financeiros de localização",revisao,
"Display tracking number details on Picking printing","Exibir detalhes do número de rastreamento em impressão de picking",revisao,
"Do you want to generate backorder for not delivered quantities?","Você deseja gerar pedidos pendentes para quantidades não entregues?",revisao,
"Do you want to generate backorder for not received quantities?","Você quer gerar pedidos pendentes para quantidades não recebidas?",revisao,
Draft,"Esboço, projeto",revisao,
"Draft move","Movimento de rascunho",revisao,
"Economic area","Área econômica",revisao,
"Electronic signature","Assinatura Eletrônica",revisao,
"Enable product description copy","Ativar cópia da descrição do produto",revisao,
"Enter tracking numbers","Digite os números de rastreamento",revisao,
"Estimated Date","Data estimada",revisao,
"Estimated date","Data estimada",revisao,
"Excl. out of stock products","Excl. produtos fora de estoque",revisao,
"Exonerated shipment and transfer","Expedição e transferência exoneradas",revisao,
"Expected Qty","Qtd esperado",revisao,
"Expected/Future Quantity","Quantidade esperada / futura",revisao,
"Expired product(s): %s","Produto expirado (s):% s",revisao,
Export,Exportar,revisao,
"Export Type","Tipo de Exportação",revisao,
"Export customs declaration","Declaração aduaneira de exportação",revisao,
External,Externo,revisao,
"External delivery comment","Comentário de entrega externa",revisao,
FIFO,FIFO,revisao,
"Feature currently not available with Open Street Maps.","Recurso atualmente não disponível com o Open Street Maps.",revisao,
"File %s successfully imported.","Arquivo% s importado com sucesso.",revisao,
"File (CSV)","Arquivo (CSV)",revisao,
"File Format","Formato de arquivo",revisao,
"Fill inventory","Preencha o estoque",revisao,
"Fill inventory with","Preencha o inventário com",revisao,
"Filter on available products","Filtrar os produtos disponíveis",revisao,
Filters,Filtros,revisao,
"Financial leasing","Locação financeira",revisao,
"Firm purchase or sale","Compra ou venda firme",revisao,
"Fixed transport installations","Instalações de transporte fixo",revisao,
"Forecasted Stock","Estoque previsto",revisao,
Forecasts,Previsões,revisao,
Forwarder,Remetente,revisao,
"Freight Carrier","Transportadora de carga",revisao,
"Freight Carrier Mode","Modo de transportadora de frete",revisao,
"Freight Carrier Mode form","Formulário do modo transportador de frete",revisao,
"Freight Carrier Mode grid","Grade de modo de transportadora de frete",revisao,
"Freight carrier mode","Modo transportadora de frete",revisao,
"Freight carrier mode list","Lista de modo de transportadora de frete",revisao,
From,De,revisao,
"From Date","Da data",revisao,
"From address","A partir do endereço",revisao,
"From rack","De rack",revisao,
"From stock location","Do local das ações",revisao,
"Full name","Nome completo",revisao,
Fullname,"Nome completo",revisao,
"Fully spread over logistical forms","Totalmente distribuídos por formulários logísticos",revisao,
Future,Futuro,revisao,
"Future Qty","Qtde futuro",revisao,
"Future qty","Qty futuro",revisao,
Gap,,revisao,
"Gap value","Valor de folga",revisao,
General,Geral,revisao,
"General Stock Details","Detalhes gerais de estoque",revisao,
"Generate invoice","Gerar fatura",revisao,
"Generate new production auto tracking Nbr.","Gerar novo acompanhamento automático de produção Nbr.",revisao,
"Generate new purchase auto tracking Nbr.","Gerar novo rastreamento automático de compras Nbr.",revisao,
"Generate new sale auto tracking Nbr.","Gerar nova venda auto rastreamento Nbr.",revisao,
"Generate refund","Gerar reembolso",revisao,
"Generate reversion","Gerar reversão",revisao,
"Generate stock configurations","Gerar configurações de estoque",revisao,
"Gross Mass","Massa Bruta",revisao,
"Gross mass","Massa bruta",revisao,
"Historical Period","Período Histórico",revisao,
"ISPM standard required","Padrão ISPM requerido",revisao,
"Ideal Qty","Qtd Ideal",revisao,
Import,Importar,revisao,
"Import customs clearance","Desembaraço aduaneiro de importação",revisao,
"Import duties and taxes","Taxas e impostos de importação",revisao,
"In progress","Em progresso",revisao,
"Incl. obsolete products","Incl. produtos obsoletos",revisao,
"Include out of stocks products","Incluir produtos fora de estoque",revisao,
"Incoming move","Movimento de entrada",revisao,
"Incoming move information","Informações de movimentação de entrada",revisao,
"Incoming move lines","Linhas de movimentação de entrada",revisao,
"Incorrect product in inventory line","Produto incorreto na linha de inventário",revisao,
Incoterm,Incoterm,revisao,
"Incoterm Code","Código Incoterm",revisao,
"Incoterm Name","Nome Incoterm",revisao,
Incoterms,Incoterms,revisao,
Insurance,Seguro,revisao,
Internal,interno,revisao,
"Internal Stock Move","Mover estoque interno",revisao,
"Internal Stock Move filters","Filtros de movimentação de estoque interno",revisao,
"Internal Stock Moves","Movimentos internos de estoque",revisao,
"Internal delivery comment","Comentário interno de entrega",revisao,
"Internal move","Movimento interno",revisao,
"Internal move information","Informação de movimento interno",revisao,
"Internal move lines","Linhas de movimento interno",revisao,
"Internal number","Número interno",revisao,
"Internal stock move","Movimentação de estoque interno",revisao,
"Intracommunity acquisition taxable in france","Aquisição intracomunitária tributável em frança",revisao,
"Invalid dimensions on packing line No. %d","Dimensões inválidas na linha de embalagem No.% d",revisao,
Inventories,"Os inventários",revisao,
"Inventories History","Histórico de estoques",revisao,
"Inventories filters","Filtros de Inventários",revisao,
Inventory,Inventário,revisao,
"Inventory N°","Inventário N °",revisao,
"Inventory line","Linha de inventário",revisao,
"Inventory lines","Linhas de Inventário",revisao,
"Inventory virtual stock location","Localização de estoque virtual de estoque",revisao,
"Inventory's lines' list has been filled.","A lista de linhas do inventário foi preenchida.",revisao,
Inventory.barcode,Inventory.barcode,revisao,
Inventory.category,Inventory.category,revisao,
Inventory.code,Inventory.code,revisao,
Inventory.company,Inventory.company,revisao,
Inventory.date,Inventário.date,revisao,
Inventory.description,Inventário.description,revisao,
Inventory.fromRack,Inventory.fromRack,revisao,
"Inventory.lastInventoryDate","Inventory.lastInventoryDate",revisao,
Inventory.name,Inventory.name,revisao,
Inventory.product,Inventory.product,revisao,
"Inventory.productCategory","Inventory.productCategory",revisao,
Inventory.productFamily,Inventory.productFamily,revisao,
Inventory.rack,Inventário.rack,revisao,
Inventory.realQty,Inventário.realQualidade,revisao,
Inventory.stockLocation,Inventário.stockLocation,revisao,
Inventory.title,Inventory.title,revisao,
Inventory.toRack,Inventário.toRack,revisao,
Inventory.trackingNumber,Inventory.trackingNumber,revisao,
Inventory.unit,Inventory.unit,revisao,
Invoiced,Facturado,revisao,
"Is ISPM15 required","É necessário ISPM15?",revisao,
"Is avg price changed","O preço médio foi alterado",revisao,
"Is certificate of conformity required","É certificado de conformidade exigido",revisao,
"Is certificate of conformity signed","O certificado de conformidade é assinado?",revisao,
"Is reversion","É reversão",revisao,
LIFO,LIFO,revisao,
"Last Future Stock Move","Último movimento de estoque futuro",revisao,
"Last Inventory date","Data do último inventário",revisao,
"Last inventory","Último inventário",revisao,
"Last inventory date","Data do último inventário",revisao,
"Last inventory real qty","Último inventário real qty",revisao,
"Late Deliveries","Entregas atrasadas",revisao,
"Late customer deliveries","Entregas atrasadas do cliente",revisao,
"Late supplier arrivals","Chegadas tardias de fornecedores",revisao,
"Line length too big","Comprimento da linha muito grande",revisao,
Lines,Linhas,revisao,
Links,Links,revisao,
"Loading on truck in port of import","Carregamento no caminhão no porto de importação",revisao,
"Loading on vessel/airplane in port of export","Carga no navio / avião no porto de exportação",revisao,
"Location Content","Conteúdo de localização",revisao,
"Location Lines","Linhas de localização",revisao,
"Location content","Conteúdo de localização",revisao,
"Location content details","Detalhes do conteúdo de localização",revisao,
"Logistical form","Forma logistica",revisao,
"Logistical form lines","Linhas de formulário logístico",revisao,
"Logistical forms","Formas logísticas",revisao,
"Manage backorder","Gerenciar pedido em espera",revisao,
"Manage backorder?","Gerenciar pedidos em espera?",revisao,
"Manage production tracking Nbr.","Gerenciar rastreamento de produção Nbr.",revisao,
"Manage purchase tracking Nbr.","Gerenciar rastreamento de compras Nbr.",revisao,
"Manage sale tracking Nbr.","Gerenciar acompanhamento de vendas Nbr.",revisao,
"Manufacturing order","Ordem de fabricação",revisao,
Map,,revisao,
"Materials for construction contract","Materiais para contrato de construção",revisao,
"Max stock","Estoque máximo",revisao,
"Max stock date","Data máxima de estoque",revisao,
"Max. Qty","Max. Qtd",revisao,
"Message template","Modelo de mensagem",revisao,
"Min stock","Estoque mínimo",revisao,
"Min stock date","Data mínima do estoque",revisao,
"Min. Qty","Min. Qtd",revisao,
Missing,"Ausência de",revisao,
"Missing logistical form sequence for company %s","Sequência de formulário logístico ausente para a empresa% s",revisao,
"Mode of transport","Modo de transporte",revisao,
Month,Mês,revisao,
"Move canceled","Mover cancelado",revisao,
"Move created","Mover criado",revisao,
"Move date","Mover data",revisao,
"Move details","Mover detalhes",revisao,
"Move realized","Mover-se realizado",revisao,
Moves,Movimentos,revisao,
"Moves Cancelled","Movimentos Cancelados",revisao,
"Moves History","Move Histórico",revisao,
"Moves To Prepare","Move-se para se preparar",revisao,
"Must set mass unit in stock configuration for customs.","Deve definir unidade de massa na configuração de estoque para alfândega.",revisao,
Name,Nome,revisao,
"Nature of transaction","Natureza da transação",revisao,
"Net mass","Massa líquida",revisao,
No,,revisao,
"No Tracking Numbers Added","Nenhum número de acompanhamento adicionado",revisao,
"No economic area is configured for %s.","Nenhuma área econômica está configurada para% s.",revisao,
"No inventory lines has been created.","Nenhuma linha de inventário foi criada.",revisao,
"No move lines to split","Nenhuma linha de movimento para dividir",revisao,
"No new stock move was generated","Nenhum novo movimento de estoque foi gerado",revisao,
"No record found","Nenhum Registro Encontrado",revisao,
"No reversion generated","Nenhuma reversão gerada",revisao,
"Non temporary implying transfer of property without compensation","Não temporário, implicando transferência de propriedade sem compensação",revisao,
Non-compliant,"Não compatível",revisao,
"Not Invoiced","Não faturado",revisao,
Note,Nota,revisao,
Notes,Notas,revisao,
"Number Of Packages","Número de pacotes",revisao,
"Number Of Palettes","Número de paletas",revisao,
"Old qty","Antigo qty",revisao,
"Operation after custom work return to initial state","Operação após o trabalho personalizado retornar ao estado inicial",revisao,
"Operation after custom work return to other state","Operação após o trabalho personalizado retornar para outro estado",revisao,
"Operation order","Ordem de operação",revisao,
"Operations for custom work non return","Operações para trabalho personalizado sem retorno",revisao,
"Operations for custom work return","Operações para retorno de trabalho personalizado",revisao,
"Order number","Número do pedido",revisao,
Origin,Origem,revisao,
"Origin Id","ID de origem",revisao,
"Origin Type","Tipo de origem",revisao,
"Origin stock move","Movimento de estoque de origem",revisao,
"Other expeditions","Outras expedições",revisao,
"Other introductions","Outras introduções",revisao,
"Other returns","Outros retornos",revisao,
"Other transactions","Outras transações",revisao,
"Outgoing Stock Move edit date","Data de edição do movimento de saída de ações",revisao,
"Outgoing Stock Move is edited","O movimento de saída de estoque é editado",revisao,
"Outgoing move","Movimento de saída",revisao,
"Outgoing move information","Informação de movimentação de saída",revisao,
"Outgoing move lines","Linhas de movimentação de saída",revisao,
"Own propulsion","Propulsão própria",revisao,
PDF,,revisao,
"Pack price select","Selecione o preço do pacote",revisao,
"Packing line","Linha de embalagem",revisao,
"Packing lines","Linhas de embalagem",revisao,
Pallet,Palete,revisao,
"Pallet %d is empty.","Palete% d está vazio.",revisao,
Parcel,Parcela,revisao,
"Parcel %d is empty.","A parcela% d está vazia.",revisao,
"Parcel/pallet number","Número de encomenda / palete",revisao,
"Parent customs code","Código alfandegário dos pais",revisao,
"Parent stock location","Localização das ações dos pais",revisao,
"Partial stock move (From","Movimento parcial do estoque (de",revisao,
"Partially available","Parcialmente disponível",revisao,
Partner,Parceiro,revisao,
"Partner is missing.","Parceiro está faltando.",revisao,
"Partner mismatch: %s","Incompatibilidade de parceiros:% s",revisao,
"Partner product quality rating","Classificação de qualidade de produto de parceiro",revisao,
"Partner product quality ratings","Classificações de qualidade de produto para parceiros",revisao,
"Partner stock settings","Configurações de estoque do parceiro",revisao,
"Perishable expiration date","Data de vencimento perecível",revisao,
"Picking order printing detailed","Impressão de pedidos de picking detalhada",revisao,
"Picking printed","Colheita impressa",revisao,
PickingStockMove.aspect,PickingStockMove.aspect,revisao,
PickingStockMove.code,PickingStockMove.code,revisao,
"PickingStockMove.customerCode","PickingStockMove.customerCode",revisao,
"PickingStockMove.deliveryCondition","PickingStockMove.deliveryCondition",revisao,
"PickingStockMove.externalReference","PickingStockMove.externalReference",revisao,
"PickingStockMove.lineNumber","PickingStockMove.lineNumber",revisao,
PickingStockMove.manual,PickingStockMove.manual,revisao,
PickingStockMove.mark,PickingStockMove.mark,revisao,
PickingStockMove.qty,PickingStockMove.qty,revisao,
"PickingStockMove.signaling","PickingStockMove.signaling",revisao,
PickingStockMove.visa,PickingStockMove.visa,revisao,
"PickingStockMove.weekCode","PickingStockMove.weekCode",revisao,
"PickingStockMove.withWithout","PickingStockMove.withWithout",revisao,
"Pickup default stock location","Local de estoque padrão de retirada",revisao,
Plan,Plano,revisao,
Planned,Planejado,revisao,
"Planned Inventories","Inventários planejados",revisao,
"Planned move","Movimento planejado",revisao,
"Planned stock move","Movimentação de estoque planejado",revisao,
"Planned stock move line list","Lista de linhas de movimentação de estoque planejado",revisao,
