key,message,comment,context
"<b>Tags:</b> $user: Current user, $date: Today's date, $time: Current time","<b>Tags:</b> $usuário: Usuário atual, $data: Data de hoje, $hora: Hora atual",revisao,
AND,E,revisao,
Action,Ação,revisao,
Action Builder,Construtor de ações,revisao,
Action builder,Construtor de ação,revisao,
Action builders,Construtores de ação,revisao,
Actions,Ações,revisao,
Activate the hand tool,Ativar a ferramenta manual,revisao,
Aggregate,Agregar,revisao,
Aggregate On,Agregar em,revisao,
Aggregate On type,Agregado no tipo,revisao,
Aggregate date type,Tipo de data agregada,revisao,
Alert,Alerta,revisao,
Alert or Blocking condition,Condição de alerta ou bloqueio,revisao,
App builder,Construtor de aplicativos,revisao,
App builders,Construtores de aplicativos,revisao,
Append end node,Anexar nó final,revisao,
Append intermediate node,Anexar nó intermediário,revisao,
Area,Área,revisao,
Assign value to,Atribuir valor a,revisao,
BPM,BPM,revisao,
Background,fundo,revisao,
Bar,Barra,revisao,
Base models,Modelos base,revisao,
Blocking,Bloqueio,revisao,
Boolean,boleano,revisao,
Bpmn xml,Bpmn xml,revisao,
Button,Botão,revisao,
Button title,Título do botão,revisao,
Chart builder,Construtor de gráfico,revisao,
Chart builders,Construtores de gráfico,revisao,
Chart type,Tipo de gráfico,revisao,
ChartBuilder.Group,,revisao,
Code,Código,revisao,
Colspan,Colspan,revisao,
Condition,Condição,revisao,
Conditions,Condições,revisao,
Configuration,Configuração,revisao,
Connect using transition,Conecte-se usando a transição,revisao,
Context,Contexto,revisao,
Create,Criar,revisao,
Create end node,Criar nó final,revisao,
Create intermediate node,Criar nó intermediário,revisao,
Create start node,Criar nó inicial,revisao,
Custom,Personalizado,revisao,
Custom Field,Campo personalizado,revisao,
Custom Model,Modelo personalizado,revisao,
Custom field,Campo customizado,revisao,
Custom field creator,Criador de campo personalizado,revisao,
Custom field creators,Criadores de campo personalizados,revisao,
Custom fields,Os campos personalizados,revisao,
Custom model,Modelo personalizado,revisao,
Custom models,Modelos personalizados,revisao,
Dashboard,painel de controle,revisao,
Dashboard builder,Construtor de painéis,revisao,
Dashboard builders,Construtores de painéis,revisao,
Dashlet builder,Construtor Dashlet,revisao,
Dashlet builder list,Lista de construtores do Dashlet,revisao,
Dashlet builders,Construtores Dashlet,revisao,
Data file,Arquivo de dados,revisao,
Date,Data,revisao,
Datetime,Data hora,revisao,
Day,Dia,revisao,
Decimal,Decimal,revisao,
Default Value,Valor padrão,revisao,
Depends on,Depende de,revisao,
Description,Descrição,revisao,
Display,Exibição,revisao,
Display message,Mostrar mensagem,revisao,
Display type,Tipo de exibição,revisao,
Domain,Domínio,revisao,
Donut,Rosquinha,revisao,
Dummy,Manequim,revisao,
Edit Node,Editar nó,revisao,
Edit Transition,Editar Transição,revisao,
Edit before send,Editar antes de enviar,revisao,
Email,Email,revisao,
End node,Nó final,revisao,
Existing menu,Menu existente,revisao,
Export,Exportar,revisao,
Extra,Extra,revisao,
Field,Campo,revisao,
Field for 'My menu',Campo para ‘Meu menu’,revisao,
Fields,Campos,revisao,
Filter,Filtro,revisao,
Filters,Filtros,revisao,
First group by,Primeiro grupo por,revisao,
From,De,revisao,
Funnel,Funil,revisao,
Gauge,Mostrador,revisao,
Generated Actions,Ações Geradas,revisao,
Generated app,App gerado,revisao,
Groovy,Groovy,revisao,
Group By,Agrupar por,revisao,
Group date type,Tipo de data do grupo,revisao,
Group on type,Grupo no tipo,revisao,
Groups,Grupos,revisao,
Help,Socorro,revisao,
Hidden In Grid,Escondido na grade,revisao,
Hidden menu,Menu oculto,revisao,
Horizontal bar,Barra horizontal,revisao,
Icon,Ícone,revisao,
If,Se,revisao,
If-module,Se-módulo,revisao,
Image,Imagem,revisao,
Import,Importar,revisao,
Import BPM,Importar BPM,revisao,
Import log,Log de importação,revisao,
Incoming,Entrada,revisao,
Integer,Inteiro,revisao,
Is json,É json,revisao,
Is parameter,É o parâmetro,revisao,
Is wkf,É wkf,revisao,
Javascript,Javascript,revisao,
Json,Json,revisao,
Json Field,Json Field,revisao,
Json Many To Many,Json muitos para muitos,revisao,
Json Many To One,Json muitos para um,revisao,
Json One To Many,Json One To Many,revisao,
Json creator,Criador de Json,revisao,
Json field,Campo Json,revisao,
Left menu,Menu à esquerda,revisao,
Line,Linha,revisao,
Link,Ligação,revisao,
Logic operator,Operador de lógica,revisao,
Many To Many,Muitos para muitos,revisao,
Many To One,Muitos para um,revisao,
Max Size,Tamanho máximo,revisao,
Menu action,Ação do menu,revisao,
Menu builder,Construtor de menu,revisao,
Menu builders,Criadores de menu,revisao,
MenuBuilder.Order,MenuBuilder.Order,revisao,
Message,mensagem,revisao,
Message on alert or blocking,Mensagem em alerta ou bloqueio,revisao,
Message on success,Mensagem sobre sucesso,revisao,
Meta Model,Meta Modelo,revisao,
Meta json fields,Meta json campos,revisao,
Meta module,Módulo meta,revisao,
MetaMenu,MetaMenu,revisao,
Min Size,Tamanho mínimo,revisao,
Mobile menu,Menu móvel,revisao,
Model,Modelo,revisao,
Module,Módulo,revisao,
Month,Mês,revisao,
Name,Nome,revisao,
Name Field,Nome Campo,revisao,
Name must not contains space,O nome não deve conter espaço,revisao,
Nav Select,Seleção de Navegação,revisao,
Nb of passes,Nb de passes,revisao,
Nb of passes per status,Nb de passes por status,revisao,
Node,Nó,revisao,
Node type,Tipo de nó,revisao,
Nodes,Nós,revisao,
None,Nenhum,revisao,
OR,OU,revisao,
Object,Objeto,revisao,
On Change,Quando mudar,revisao,
On Click,Quando clicar,revisao,
On New,Quando novo,revisao,
On Save,Quando salvar,revisao,
One To Many,Um para muitos,revisao,
Only use this menu-item if the given expression is true.,Use este item de menu apenas se a expressão especificada for verdadeira.,revisao,
Only use this menu-item if the given module is installed.,Use este item de menu apenas se o módulo fornecido estiver instalado.,revisao,
Open record,Registro aberto,revisao,
Open workflow,Fluxo de trabalho aberto,revisao,
Operator,Operador,revisao,
Outgoing,Extrovertido,revisao,
Overview,visão global,revisao,
Pagination limit,Limite de paginação,revisao,
Panel,Painel,revisao,
Parent,Pai,revisao,
Percentage(%),Percentagem(%),revisao,
Permissions,Permissões,revisao,
Pie Chart,Gráfico de pizza,revisao,
Please correct the workflow diagram.,"Por favor, corrija o diagrama de fluxo de trabalho.",revisao,
Please input value bind with single quotation.,Por favor insira o valor vincular com a cotação única.,revisao,
Please provide unique code. The code '%s' is already used,"Por favor, forneça um código único. O código ‘%s’ já está sendo usado",revisao,
Process display type,Tipo de exibição do processo,revisao,
Process studio,Estúdio de processo,revisao,
Process tracking,Rastreamento de processos,revisao,
Properties,Propriedades,revisao,
Radar,Radar,revisao,
ReadOnly for,ReadOnly para,revisao,
Record Id,ID de registro,revisao,
Record model,Modelo de registro,revisao,
Record name,Nome do registro,revisao,
Regex,Regex,revisao,
Report,Relatório,revisao,
Reporting,Relatórios,revisao,
Required,Requeridos,revisao,
Required If,Obrigatório se,revisao,
Roles,Papéis,revisao,
Scatter,Dispersão,revisao,
Script,Roteiro,revisao,
Script type,Tipo de script,revisao,
Second group by,Segundo grupo por,revisao,
Select Option,Selecione a opção,revisao,
Selection,Seleção,revisao,
Selections,Seleções,revisao,
Send directly,Enviar diretamente,revisao,
Send option,Opção de envio,revisao,
Separator,Separador,revisao,
Sequence,Seqüência,revisao,
Show If,Mostrar se,revisao,
Show process tracking,Mostrar acompanhamento de processo,revisao,
Simple Select,Seleção Simples,revisao,
Source Field,Campo de Origem,revisao,
Start node,Nó inicial,revisao,
Status,Status,revisao,
Status per day,Status por dia,revisao,
Status per month,Status por mês,revisao,
Status time(days),Tempo de status (dias),revisao,
Status time(hours),Tempo de status (horas),revisao,
String,Corda,revisao,
Studio,Estúdio,revisao,
Sub lines,Sub linhas,revisao,
Tag count,Contagem de tags,revisao,
Tag label,Rótulo de marca,revisao,
Tag method,Método da marca,revisao,
Tag style,Estilo de tag,revisao,
Target,Alvo,revisao,
Target Field,Campo Alvo,revisao,
Target Json Model,Modelo Json Alvo,revisao,
Target Title,Título Alvo,revisao,
Target field,Campo de destino,revisao,
Target json,Json alvo,revisao,
Target object,Objeto Alvo,revisao,
Target type,Tipo de destino,revisao,
Task node,Nó de tarefas,revisao,
Template,Modelo,revisao,
Text,Texto,revisao,
Time,Tempo,revisao,
Time spent,Tempo gasto,revisao,
Time spent (hours/days),Tempo gasto (horas / dias),revisao,
Time spent per status (hours),Tempo gasto por status (horas),revisao,
Time spent per status per user (hours),Tempo gasto por status por usuário (horas),revisao,
Title,Título,revisao,
To,Para,revisao,
Top menu,Menu de cima,revisao,
Total time per status,Tempo total por status,revisao,
Track flow,Fluxo trilha,revisao,
Track workflow,Acompanhar o fluxo de trabalho,revisao,
Tracking line,Linha de rastreamento,revisao,
Tracking lines,Linhas de rastreamento,revisao,
Transactional,Transacional,revisao,
Transition,Transição,revisao,
Transitions,Transições,revisao,
Type,Tipo,revisao,
Update,Atualizar,revisao,
User,Do utilizador,revisao,
Validation type,Tipo de validação,revisao,
Value,Valor,revisao,
Value Expr,Valor Expr,revisao,
View,Visão,revisao,
View generated,Ver gerado,revisao,
View params,Visualizar params,revisao,
Views,Views,revisao,
Widget,Ferramenta,revisao,
Wkf,,revisao,
Wkf field,Campo Wkf,revisao,
