key,message,comment,context
"${fullName} plan. st. move","plano de $ {fullName}. st. mover",revisao,
"%",,revisao,
"%d order invoiced successfully,","% d pedido faturado com sucesso,",revisao,
"%d orders invoiced successfully,","% d pedidos faturados com sucesso,",revisao,
"%d outgoing stock move processed successfully,","% d movimentação de estoque de saída processada com sucesso,",revisao,
"%d outgoing stock moves processed successfully,","% d movimentos de saída de ações processados com sucesso,",revisao,
"%s please configure a virtual supplier stock location for the company %s","% s configure um local de estoque de fornecedor virtual para a empresa% s",revisao,
"A supplier partner must be selected","Um parceiro do fornecedor deve ser selecionado",revisao,
A.T.I.,ATI,revisao,
"Accepted Credit","Crédito aceito",revisao,
"Accounting cut off generation report :","Relatório de geração de corte contábil:",revisao,
"Accounting cut-off","Corte contábil",revisao,
"Accounting cut-off configuration","Configuração de corte de contabilidade",revisao,
Action,Açao,revisao,
Actions,Ações,revisao,
"All invoices have been generated for this sale order.","Todas as faturas foram geradas para este pedido de venda.",revisao,
"Allocated Qty","Qtd alocado",revisao,
"Allocated qty","Quantia alocada",revisao,
"Allow Subscriptions for Sale orders","Permitir assinaturas para pedidos de venda",revisao,
"Allow complete manually sale order","Permitir a ordem de venda manual completa",revisao,
"Allow finish manually purchase order","Permitir concluir o pedido manualmente",revisao,
"Allow timetable invoicing","Permitir faturamento de horário",revisao,
Amount,Montante,revisao,
"Amount invoiced W.T.","Montante faturado WT",revisao,
"Amount remaining to use","Quantidade restante a ser usada",revisao,
"Amount to invoice","Valor da fatura",revisao,
"An active stock move (%s) already exists for the sale order %s.","Um movimento de estoque ativo (% s) já existe para o pedido de venda% s.",revisao,
"An invoice not canceled already exists for the incoming stock move %s","Uma fatura não cancelada já existe para a movimentação de estoque entrante% s",revisao,
"An invoice not canceled already exists for the outgoing stock move %s","Uma fatura não cancelada já existe para o movimento de saída de estoque% s",revisao,
"Analytic distribution lines","Linhas de distribuição analítica",revisao,
"Analytic distribution template","Modelo de distribuição analítica",revisao,
"Analytic move lines","Linhas de movimento analítico",revisao,
"App Supplychain","App Supplychain",revisao,
Archived,Arquivado,revisao,
"Are you sure you want generate all proposals ?","Tem certeza de que deseja gerar todas as propostas?",revisao,
"Are you sure you want run the calculation ? Calculation can take a long time.","Tem certeza de que deseja executar o cálculo? O cálculo pode demorar muito tempo.",revisao,
"At least one sale order line must be selected","Pelo menos uma linha de ordem de venda deve ser selecionada",revisao,
"Auto allocate stock on other stock moves","Auto alocar estoque em outros movimentos de estoque",revisao,
"Auto allocate stock on receipt","Auto alocar estoque no recebimento",revisao,
"Auto request reserved qty","Pedido automático reservado qty",revisao,
"Availability requests","Solicitações de disponibilidade",revisao,
"Available stock","Estoque disponível",revisao,
Batches,Lotes,revisao,
Batchs,Lotes,revisao,
"Block deallocation on availability request","Bloquear a desalocação na solicitação de disponibilidade",revisao,
Budget,Despesas,revisao,
"Budget Distribution","Distribuição Orçamental",revisao,
Buyers,Compradores,revisao,
Calculation,Cálculo,revisao,
"Calculation End Date","Data final do cálculo",revisao,
"Calculation Start Date","Data de início do cálculo",revisao,
"Calculation ended","Cálculo finalizado",revisao,
"Calculation in progress","Cálculo em andamento",revisao,
"Calculation started","Cálculo iniciado",revisao,
"Can't remove delivered detail line %s.","Não é possível remover a linha de detalhe entregue% s.",revisao,
Cancel,Cancelar,revisao,
"Cancel reason on changing sale order","Cancelar a razão para alterar a ordem de venda",revisao,
"Cancel stock allocation ?","Cancelar alocação de estoque?",revisao,
Cancelled,Cancelado,revisao,
Carrier,Transportadora,revisao,
"Change allocated qty","Alterar qty alocado",revisao,
"Change requested reserved qty","Alteração solicitada qty reservado",revisao,
"Change reserved qty","Alterar quantia reservada",revisao,
"Check stocks in a sale order","Verificar estoques em um pedido de venda",revisao,
"Client blocked : maximal accepted credit exceeded.","Cliente bloqueado: crédito máximo aceito excedido.",revisao,
Code,Código,revisao,
Comments,Comentários,revisao,
"Committed amount","Quantidade comprometida",revisao,
Company,Empresa,revisao,
Configuration,Configuração,revisao,
Confirm,confirme,revisao,
"Confirm Purchase order generation","Confirme a geração de pedidos",revisao,
