key,message,comment,context
+10 years,+10 anos,revisao,
0 %,,revisao,
0-2 years,0-2 anos,revisao,
10 %,10%,revisao,
100 %,100%,revisao,
2-5 years,2-5 anos,revisao,
20 %,20%,revisao,
30 %,30%,revisao,
40 %,40%,revisao,
5-10 years,5-10 anos,revisao,
50 %,50%,revisao,
60 %,60%,revisao,
70 %,70%,revisao,
80 %,80%,revisao,
90 %,90%,revisao,
<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />,<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />,revisao,
A new employee form will be created. Do you confirm the creation ?,Um novo formulário de empregado será criado. Você confirma a criação?,revisao,
Accept/plan,Aceitar / planejar,revisao,
Address,Endereço,revisao,
All Applications,Todas as aplicações,revisao,
All applications,Todas as aplicações,revisao,
All open Applications,Todos os aplicativos abertos,revisao,
All trainings,Todos os treinamentos,revisao,
Application Information,Informação de Aplicação,revisao,
Applied job,Trabalho aplicado,revisao,
Appraisal,Avaliação,revisao,
Appraisal cancelled,Avaliação cancelada,revisao,
Appraisal draft,Rascunho de avaliação,revisao,
Appraisal filters,Filtros de avaliação,revisao,
Appraisal realized,Avaliação realizada,revisao,
Appraisal sent,Avaliação enviada,revisao,
Appraisal template,Modelo de avaliação,revisao,
Appraisal templates,Modelos de avaliação,revisao,
Appraisal type,Tipo de avaliação,revisao,
Appraisal types,Tipos de avaliação,revisao,
Appraisals,Avaliações,revisao,
Appreciation,Apreciação,revisao,
Availability from,Disponibilidade a partir de,revisao,
Business sectors,Setores de negócios,revisao,
Cadre,Cadre,revisao,
Calendar,Calendário,revisao,
Cancel,Cancelar,revisao,
Canceled,Cancelado,revisao,
Cancelled,Cancelado,revisao,
Categories,Categorias,revisao,
Category,Categoria,revisao,
Close,Perto,revisao,
Close session,Fechar sessão,revisao,
Closed,Fechadas,revisao,
Code,Código,revisao,
Company,Empresa,revisao,
Completed,Concluído,revisao,
Completed trainings of all employees of a team,Treinamentos concluídos de todos os funcionários de uma equipe,revisao,
Configuration,Configuração,revisao,
Contact,Contato,revisao,
Contact details,Detalhes do contato,revisao,
Contract,Contrato,revisao,
Contract type,Tipo de contrato,revisao,
Create,Criar,revisao,
Create Appraisal(Select Employees),Criar avaliação (selecione funcionários),revisao,
Create Appraisals,Criar avaliações,revisao,
Create Appraisals(Select Employees),Criar avaliações (selecione funcionários),revisao,
Create a job application,Crie um aplicativo de trabalho,revisao,
Dashboard,painel de controle,revisao,
Date of application,Data da aplicação,revisao,
Deadline,Data limite,revisao,
Department,Departamento,revisao,
Description,Descrição,revisao,
Draft,"Esboço, projeto",revisao,
Education level,Nível de educação,revisao,
Email,O email,revisao,
Employee,Empregado,revisao,
Employee hired,Empregado contratado,revisao,
Employee registred,Empregado registrado,revisao,
Employees,Funcionários,revisao,
Events,Eventos,revisao,
Expected salary,Salário esperado,revisao,
Experience,Experiência,revisao,
Experience skills,Habilidades de experiência,revisao,
Fax,,revisao,
First name,Primeiro nome,revisao,
Fixed phone,Telefone fixo,revisao,
From,De,revisao,
From date,Da data,revisao,
Full name,Nome completo,revisao,
Hire,Contratar,revisao,
Hired,Contratado,revisao,
Hiring Stage,Estágio de contratação,revisao,
Hiring stage,Fase de contratação,revisao,
Historic job positions,Cargos de emprego histórico,revisao,
Invalid dates. From date must be before to date.,Datas inválidas. De data deve ser anterior a data.,revisao,
Is template,É modelo,revisao,
Job Application,Candidatura de Trabalho,revisao,
Job Offer Information,Informações sobre ofertas de emprego,revisao,
Job application,Candidatura de Trabalho,revisao,
Job applications,Aplicações de trabalho,revisao,
Job description,Descrição do trabalho,revisao,
Job email,E-mail do trabalho,revisao,
Job position,Cargo,revisao,
Job positions,Posições de trabalho,revisao,
Job reference,Referência de emprego,revisao,
Job title,Titulo do trabalho,revisao,
Last email sync id,Último código de sincronização de e-mail,revisao,
Last name,Último nome,revisao,
Level of education,Nível de educação,revisao,
LinkedIn profile,Perfil do linkedIn,revisao,
Location,Localização,revisao,
Mandatory training,Treinamento obrigatório,revisao,
Mobile phone,Celular,revisao,
Month,Mês,revisao,
My Appraisal filters,Meus filtros de avaliação,revisao,
My appraisals,Minhas avaliações,revisao,
My completed appraisals,Minhas avaliações concluídas,revisao,
My completed trainings,Meus treinamentos concluídos,revisao,
My team Appraisal filters,Minha equipe Filtros de avaliação,revisao,
My team appraisals,Minhas avaliações da equipe,revisao,
My team trainings,Meus treinamentos de equipe,revisao,
My team traning filters,Minha equipe de filtros traning,revisao,
My trainings,Meus treinamentos,revisao,
My traning filters,Meus filtros traning,revisao,
My upcoming appraisal,Minha próxima avaliação,revisao,
My upcoming trainings,Meus próximos treinamentos,revisao,
Name,Nome,revisao,
Nb Employee,Empregado Nb,revisao,
Nb Hours,Nb horas,revisao,
Nb of open jobs,Nb de trabalhos abertos,revisao,
Nb of people hired,Nb de pessoas contratadas,revisao,
Nb of training hours per month,Nb de horas de treinamento por mês,revisao,
Nb. hours per category,Nb horas por categoria,revisao,
Nb. hours per training,Nb horas por treinamento,revisao,
Nb. of trained employee per category,Nb de funcionário treinado por categoria,revisao,
New appraisal,Nova avaliação,revisao,
Number of hours,Número de horas,revisao,
Number of registredred to the session,Número de inscritos na sessão,revisao,
Objectives,Objetivos,revisao,
On hold,Em espera,revisao,
Open,Abrir,revisao,
Opened,Aberto,revisao,
Other skills,Outras habilidades,revisao,
Photo,foto,revisao,
Planned,Planejado,revisao,
Position Status,Status da posição,revisao,
Primary Address,Endereço primário,revisao,
Profile wanted,Perfil desejado,revisao,
Program,Programa,revisao,
Proposed salary,Salário proposto,revisao,
Publication Date,Data de publicação,revisao,
Rating,Avaliação,revisao,
Realize,Realize,revisao,
Reason not hired,Razão não contratada,revisao,
Recruitment,Recrutamento,revisao,
Referred by,Referido por,revisao,
Register training,Registrar treinamento,revisao,
Rejected,Rejeitado,revisao,
Requested,Requeridos,revisao,
Required training,Treinamento Requerido,revisao,
Responsible,Responsável,revisao,
Reviewer,Revisor,revisao,
Salary,Salário,revisao,
Schedule Event,Programar Evento,revisao,
Send,Mandar,revisao,
Sent,Enviei,revisao,
Sequence,Seqüência,revisao,
Session,Sessão,revisao,
Skill,Habilidade,revisao,
Skills,Habilidades,revisao,
Skills tag,Tag de habilidades,revisao,
Source,Fonte,revisao,
Sources,Fontes,revisao,
Starting date,Data de início,revisao,
Status,Status,revisao,
Tag skill,Habilidade de tag,revisao,
Tag skills,Habilidades de tag,revisao,
Technicien,Technicien,revisao,
Title,Título,revisao,
To,Para,revisao,
To date,Até a presente data,revisao,
Tools,Ferramentas,revisao,
Total,Total,revisao,
Training,Treinamento,revisao,
Training Categories,Categorias de treinamento,revisao,
Training Category,Categoria de treinamento,revisao,
Training Register,Registro de Treinamento,revisao,
Training completed,Treinamento concluído,revisao,
Training dashboard,Painel de treinamento,revisao,
Training dates must be under training session date range.,As datas de treinamento devem estar sob o intervalo de datas da sessão de treinamento.,revisao,
Training per category,Treinamento por categoria,revisao,
Training register,Registro de treinamento,revisao,
Training registers,Registros de treinamento,revisao,
Training session,Sessão de treinamento,revisao,
Training sessions,Sessões de treinamento,revisao,
Training skills,Habilidades de treinamento,revisao,
Trainings,Treinamentos,revisao,
Type of appraisal,Tipo de avaliação,revisao,
Upcoming appraisal,Próximas avaliações,revisao,
Upcoming appraisals of all employees of a team,Próximas avaliações de todos os funcionários de uma equipe,revisao,
Upcoming trainings of all employees of a team,Próximos treinamentos de todos os funcionários de uma equipe,revisao,
Work experience,Experiência de trabalho,revisao,
user@mydomain.com,usuario@meudominio.com.br,revisao,
value:Appraisal,valor: avaliação,revisao,
value:Recruitment,valor: Recrutamento,revisao,
value:Training,valor: Treinamento,revisao,
